"assessment_response_id","assessment_option_id","assessment_response_correct","assessment_response_feedback","assessment_response_selected"
"5abea76e","01371788","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"94d2448e","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"aa107ef0","99682531","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"529e20f6","30200566","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"bd5dccd4","23518194","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"392da9a1","09038101","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"26f245c0","37052421","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"416cef20","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"ccc06855","94651084","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"a046b7a1","37898f5b","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"929aa93c","97977543","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"eabfeb5d","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5e11c090","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"fcd33783","09038101","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8b121b69","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"fe29672b","5c27f609","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"2f9df43b","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"ae4855be","eeb16fea","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5adcfb7a","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"ab4a8dd9","04895874","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"151ed2e5","db944bc4","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"d9325739","1482bd4e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"429daf98","71547356","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"63a73ac2","eeb16fea","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"2905534d","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"2bd02c1f","30200566","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"922305f9","1482bd4e","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"84104b34","27750456","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"a7f187ba","76452333","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"3e327694","c85e54c2","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"4b88783b","9dd0fb86","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"13e1871a","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"9614b32d","eeb16fea","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e4defabe","db944bc4","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"9f64f540","28371336","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"346f40e1","f0b791e1","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"ff1549a4","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5cc8b124","38182474","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"87aac73a","9dd0fb86","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"51e20b27","540d759f","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"16d42a87","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"be377dba","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"15b475bb","826ff094","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"ca4b1f1f","31628602","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"f0222357","237a8b53","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e627a60e","83cfa0a8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"90b953f4","26712613","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"3fced9b3","37898f5b","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"b233644f","96179938","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"746a1e62","06469921","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"731ef640","98615468","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"59682e4d","71547356","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c9b6d55","04895874","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"2735d26f","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"37c8b8c9","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6fed85c2","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"db7bfa78","28768753","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"75786aea","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"ea9a0fc2","f0b791e1","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"3a0d4bee","f0b791e1","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"2edaf1b4","9dd0fb86","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"a8bc7028","23651131","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"926c5f97","99682531","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"535aa9c","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"be5c50ac","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"fb5279d9","09038101","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"bcaf1ca3","a9d4cd2e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"d2b17a1d","eeb16fea","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8ee8e1ad","06469921","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"a239255a","7aef3a42","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"a37c34b6","441b4b54","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"59b2b93","30200566","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5ef8d9c5","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"af475264","76452333","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"b73ded63","826ff094","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"4830759d","9dd0fb86","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"44afcc1d","47669745","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e74ab5d6","5c27f609","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"f911c92c","a9d4cd2e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"3d0cb8d9","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1144ecf5","47085684","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"698a177b","eb10a865","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"7fe95538","9dd0fb86","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"9435aedf","772cea9b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"59458d0","f0b791e1","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"843a9075","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"56a6d3a9","eeb16fea","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6e74f269","34339567","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"9d8b7ec7","47085684","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"24050063","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"637d3ace","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"724a5292","94aa8fc9","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c60d0223","f0b791e1","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"ddada08a","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1dc10e27","a9d4cd2e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"fec89292","f0b791e1","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"b8c8c295","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"cf7b54f4","83cfa0a8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c43b1f66","826ff094","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c7d7b12b","eeb16fea","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1e99ed0","42759186","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"96515f03","47669745","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"d4bbca4c","97977543","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c017a3fb","09038101","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5e9cd1e7","a9d4cd2e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"460ecd5d","a9d4cd2e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e3df7163","23518194","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"638e4d29","42759186","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6e24d10a","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"15da16d9","23518194","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5a86c5e3","37052421","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"f26fe0c","e3d7ed02","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1c265e17","b003dd75","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c5df0534","42759186","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"209a514c","a9d4cd2e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"243f4254","1482bd4e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e41dbbbc","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"435ef6d7","a9d4cd2e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"d5b6f5a7","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1f97aec0","f0b791e1","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c0c23552","27750456","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"17fd58b3","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"45cbfcca","33778795","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"af2ed863","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"391444c6","23518194","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"f90b5a49","3068febf","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"b555b1f","09038101","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"31798d9b","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"cb8ac30e","27750456","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"680923ef","94aa8fc9","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"3613daf","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6187fe35","495dbdfd","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e16fd9e0","09038101","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8c82569f","b003dd75","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5894a3d0","a9d4cd2e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1f9c8886","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1ed5c59","db944bc4","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"53e3653b","38182474","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5c9f468e","eeb16fea","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"86ad6088","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8009e600","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"fc97e2b6","237a8b53","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6da70abc","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"fe09ad7","34339567","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"ca2906eb","06469921","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"3bad65a6","71547356","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"90db4b35","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"b3997e39","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c8d4c9cb","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"93aa1a48","97977543","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"a86199a3","83cfa0a8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"fbbecc3","f0b791e1","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"9216a721","a9d4cd2e","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"59915b21","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"53280456","94651084","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"2eb08017","9dd0fb86","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5d3d9156","37052421","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"500ed0ca","826ff094","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"349708e4","26712613","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"83f18740","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"4d74303e","23651131","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"7673e39c","23651131","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"7af82266","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"3d83b167","47669745","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"3da451c9","f0b791e1","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"4f14a10f","28540046","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"769751f6","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
