"peer_assignment_id","peer_assignment_review_schema_part_id","peer_assignment_review_schema_part_option_id","peer_assignment_review_schema_part_option_text","peer_assignment_review_schema_part_option_score"
"Ha0UDw@1","8","72","Some text","1"
"S9qjoQ@8","2","41","Some text","0"
"S9qjoQ@2","555","41","Some text","0"
"Ha0UDw@3","111","5551","Some text","1"
"S9qjoQ@3","777","41","Some text","0"
"S9qjoQ@1","333","32","Some text","1"
"S9qjoQ@3","5","21","Some text","1"
"Ha0UDw@3","6","32","Some text","0"
"S9qjoQ@7","6","7772","Some text","0"
"S9qjoQ@6","777","42","Some text","1"
"S9qjoQ@6","333","7772","Some text","1"
"S9qjoQ@8","6JIYOGvVU2lA16kFeSbivH","32","Some text","0"
"S9qjoQ@5","555","Yes","Some text","1"
"Ha0UDw@1","3","6662","Some text","0"
"1uEo4w@3","444","No","Some text","1"
"Ha0UDw@1","444","Yes","Some text","1"
"S9qjoQ@5","3","No","Some text","0"
"S9qjoQ@7","444","62","Some text","1"
"S9qjoQ@2","111","No","Some text","1"
"S9qjoQ@8","8","No","Some text","0"
"S9qjoQ@5","3","Yes","Some text","0"
"S9qjoQ@6","111","81","Some text","0"
"Ha0UDw@1","111","Yes","Some text","0"
"S9qjoQ@8","222","82","Some text","0"
"S9qjoQ@6","SijUusI4nbSiZtldrHhtkX","Yes","Some text","0"
"S9qjoQ@3","333","7771","Some text","1"
"Ha0UDw@3","3","61","Some text","0"
"1uEo4w@3","8","82","Some text","1"
"1uEo4w@2","777","Yes","Some text","0"
"S9qjoQ@7","4","82","Some text","0"
"S9qjoQ@3","333","72","Some text","1"
"Ha0UDw@1","444","71","Some text","0"
"S9qjoQ@4","777","42","Some text","1"
"S9qjoQ@7","5","6662","Some text","0"
"S9qjoQ@5","2","5552","Some text","0"
"S9qjoQ@5","8","41","Some text","1"
"S9qjoQ@3","666","No","Some text","1"
"S9qjoQ@8","555","No","Some text","1"
"S9qjoQ@5","6","21","Some text","1"
"S9qjoQ@2","444","5552","Some text","0"
"S9qjoQ@4","666","6662","Some text","1"
"S9qjoQ@5","8","6661","Some text","0"
"S9qjoQ@7","666","71","Some text","0"
"S9qjoQ@1","7","22","Some text","1"
"Ha0UDw@2","777","51","Some text","0"
"S9qjoQ@7","2","No","Some text","1"
"1uEo4w@4","2","6661","Some text","1"
"S9qjoQ@1","7","42","Some text","0"
"S9qjoQ@1","666","No","Some text","1"
"S9qjoQ@5","555","32","Some text","0"
"Ha0UDw@2","6","81","Some text","0"
"S9qjoQ@5","5","No","Some text","1"
"S9qjoQ@3","666","52","Some text","1"
"S9qjoQ@4","6","No","Some text","1"
"Ha0UDw@1","111","52","Some text","0"
"S9qjoQ@4","5","81","Some text","1"
"S9qjoQ@7","4","31","Some text","1"
"Ha0UDw@3","5","42","Some text","0"
"S9qjoQ@2","777","7771","Some text","1"
"S9qjoQ@2","5","Yes","Some text","1"
"S9qjoQ@4","3","21","Some text","1"
"Ha0UDw@3","5","No","Some text","1"
"S9qjoQ@3","5","No","Some text","1"
"S9qjoQ@8","2","No","Some text","1"
"Ha0UDw@2","444","Yes","Some text","1"
"S9qjoQ@7","333","No","Some text","0"
"S9qjoQ@6","666","42","Some text","1"
"S9qjoQ@5","OiYBP8szIN9z0FfVffV-Qs","Yes","Some text","1"
"S9qjoQ@4","6","81","Some text","0"
"S9qjoQ@2","3","5552","Some text","1"
"S9qjoQ@4","7","Yes","Some text","1"
"Ha0UDw@2","333","42","Some text","0"
"S9qjoQ@8","333","Yes","Some text","0"
"S9qjoQ@2","K20zeiocLDtwL8nRc2Y5aN","No","Some text","1"
"Ha0UDw@3","444","22","Some text","0"
"S9qjoQ@3","8","Yes","Some text","1"
"Ha0UDw@2","222","71","Some text","0"
"S9qjoQ@3","777","5552","Some text","1"
"P1p1aQ@3","111","6661","Some text","1"
"S9qjoQ@2","8","61","Some text","0"
"S9qjoQ@8","777","Yes","Some text","0"
"S9qjoQ@7","6","No","Some text","0"
"S9qjoQ@5","666","62","Some text","0"
"Ha0UDw@3","222","No","Some text","1"
"S9qjoQ@3","8","Yes","Some text","0"
"S9qjoQ@6","5","52","Some text","1"
"S9qjoQ@3","2","61","Some text","1"
"1uEo4w@4","8","Yes","Some text","0"
"S9qjoQ@2","555","21","Some text","1"
"S9qjoQ@8","4","81","Some text","1"
"S9qjoQ@8","K20zeiocLDtwL8nRc2Y5aN","32","Some text","0"
"S9qjoQ@8","2","61","Some text","1"
"S9qjoQ@8","555","5552","Some text","0"
"S9qjoQ@3","4","51","Some text","0"
"S9qjoQ@1","3","21","Some text","0"
"Ha0UDw@2","222","5552","Some text","0"
"S9qjoQ@3","666","42","Some text","0"
"S9qjoQ@3","444","21","Some text","0"
"Ha0UDw@3","6","Yes","Some text","0"
"1uEo4w@4","555","Yes","Some text","1"
"S9qjoQ@1","2","72","Some text","1"
"S9qjoQ@8","2","61","Some text","0"
"S9qjoQ@6","333","32","Some text","1"
"S9qjoQ@3","8","No","Some text","1"
"P1p1aQ@3","6","82","Some text","1"
"S9qjoQ@7","6JIYOGvVU2lA16kFeSbivH","No","Some text","0"
"S9qjoQ@8","5","Yes","Some text","0"
"Ha0UDw@1","2","22","Some text","1"
"Ha0UDw@2","666","No","Some text","1"
"S9qjoQ@7","333","31","Some text","1"
"S9qjoQ@7","222","21","Some text","1"
"S9qjoQ@4","444","62","Some text","1"
"S9qjoQ@6","444","No","Some text","1"
"Ha0UDw@1","2","6661","Some text","0"
"S9qjoQ@3","3","71","Some text","0"
"S9qjoQ@2","2","82","Some text","1"
"Ha0UDw@1","555","82","Some text","0"
"S9qjoQ@2","2","42","Some text","0"
"S9qjoQ@2","3","61","Some text","0"
"Ha0UDw@3","555","No","Some text","0"
"1uEo4w@2","777","71","Some text","1"
