"assessment_question_id","assessment_option_id","assessment_option_display","assessment_option_feedback","assessment_option_correct","assessment_option_index"
"b3RmVw@4","661abba1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","cb369675","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","cab1e091","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"Cp66Lw@1","d05e7f70","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","unlike a regular Shiny App which needs to be hosted online.</text></co-content>\""}}"""
"seJe7Q@1","67a6d0b1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","04895874","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","c1837078","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@6","09570873","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","cab1e091","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","eeb16fea","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","e3d7ed02","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","69c82e93","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"pAh9DQ@1","69c654f3","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","s = slider(0"
"WttycQ@1","27962468","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","c1837078","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"seJe7Q@2","c61d073d","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"seJe7Q@3","b003dd75","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","but use a bang symbol after the comment"
"uvVA8Q@1","441b4b54","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","53170582","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","f01e2d29","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"pAh9DQ@2","86d27a63","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","9744f8e0","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"l61z7Q@1","b003dd75","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","c1837078","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","s = slider(0"
"1uEo4w@1","c1837078","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@6","20877089","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","s = slider(0"
"b3RmVw@2","c1837078","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","661abba1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","c1837078","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","64380622","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"Cp66Lw@2","55ea8ace","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"3PvHeQ@2","4a59c37f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@7","1482bd4e","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","x.s = slider(0"
"b3RmVw@5","540d759f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","as in CODE #! summary(fit)CODE</text></co-content>\""}}"""
"b3RmVw@2","37898f5b","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","7781e224","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"WttycQ@1","a668f3da","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"9BZbew@1","4e4de23a","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","a9d4cd2e","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@6","71901fa7","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"QujkHw@1","4c5fa937","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","588529ee","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","c1837078","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"oQox3w@1","eb10a865","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@6","4a59c37f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","stringsAsFactors = FALSE)print(d)</code></co-content>\""}}"""
"1uEo4w@2","23651131","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"l61z7Q@2","932fc669","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","47085684","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","9744f8e0","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","cb369675","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@7","b003dd75","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","540d759f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"QujkHw@1","47bb299b","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","67a6d0b1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","x.s = slider(0"
"b3RmVw@3","772cea9b","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","31628602","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"3PvHeQ@1","94416d1e","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","96179938","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","0afced89","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"oQox3w@2","33342ab8","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@7","33346331","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"3PvHeQ@1","c1837078","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"LdjFWw@2","826ff094","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","x.s = slider(0"
"b3RmVw@2","57196043","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","34844843","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","but use a bang symbol after the comment"
"b3RmVw@2","94416d1e","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","237a8b53","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","48fd373c","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","when interpreted"
"b3RmVw@5","7aef3a42","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"Cp66Lw@1","f01e2d29","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","4e4de23a","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","98384604","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"seJe7Q@2","71901fa7","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","83cfa0a8","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","97977543","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"fGEHEQ@1","33342ab8","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","a9d4cd2e","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","67123868","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"uvVA8Q@1","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","as in $$\\\\verb| #! summary(fit)|$$</text></co-content>\""}}"""
"b3RmVw@2","86d27a63","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"pAh9DQ@2","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","slider = x(0"
"b3RmVw@5","d05e7f70","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@7","37898f5b","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"oQox3w@1","d05e7f70","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","b003dd75","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","9a6d6d8d","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","sPaginationType = \\\""full_numbers\\\"")</code></co-content>\""}}"""
"b3RmVw@3","23651131","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","9dd0fb86","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"seJe7Q@2","7781e224","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","47085684","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","69c82e93","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"dW1YXw@1","100561c5","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"LdjFWw@2","02b2b2bc","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"LdjFWw@1","f0b791e1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"fGEHEQ@1","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","sPaginationType = \\\""full_numbers\\\"")</code></co-content>\""}}"""
"b3RmVw@2","5c27f609","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"QujkHw@1","540d759f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","sPaginationType = &quot;full_numbers&quot;)</text><text>CODE</text></co-content>\""}}"""
"b3RmVw@2","6a900602","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","stringsAsFactors = FALSE)print(d)</code></co-content>\""}}"""
"b3RmVw@2","7aef3a42","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","04393807","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","31628602","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
