"assessment_response_id","assessment_id","assessment_action_id","assessment_action_version","assessment_question_id","assessment_response_score","assessment_response_weighted_score"
"ed784ca9","O3010Q@5","a9021dbe"," 2","b3RmVw@4","1.0000000","1.0000000"
"75c95829","z4nUbw@6","2468174e","13","fGEHEQ@1","1.0000000","1.0000000"
"aba6dd7e","z4nUbw@6","5eab6cbc","11","WttycQ@1","1.0000000",NA
"76258823","O3010Q@7","a6ba169b","15","b3RmVw@4","1.0000000",NA
"5a043a8d","O3010Q@7","446670b"," 2","b3RmVw@2","1.0000000","1.0000000"
"7c3d3ffe","O3010Q@4","f40c012c"," 2","3PvHeQ@2","1.0000000","1.0000000"
"c4eefbc4","z4nUbw@6","554be768","10","b3RmVw@3","1.0000000",NA
"93f19f94","O3010Q@5","ac4e582a"," 2","b3RmVw@3","1.0000000",NA
"4aae4163","O3010Q@5","24b5285e"," 2","uvVA8Q@1","1.0000000",NA
"3b96fa27","yWmNPQ@3","decf5ece"," 2","seJe7Q@3","1.0000000",NA
"991dd6ad","xDAvSQ@5","325738b8"," 2","1uEo4w@2","1.0000000","1.0000000"
"54fa9d84","yWmNPQ@3","791026e2"," 2","b3RmVw@3","1.0000000",NA
"17feea4f","yWmNPQ@3","81d1ca7d"," 2","b3RmVw@3","1.0000000","1.0000000"
"7c323166","dW1YXw@4","52c99ff0"," 2","9BZbew@1","1.0000000","1.0000000"
"957e4542","yWmNPQ@6","52cef88d"," 2","b3RmVw@3","1.0000000",NA
"fa1d931f","O3010Q@5","5a5087f2"," 2","b3RmVw@3","1.0000000","1.0000000"
"37a09d8d","yWmNPQ@3","91ac676","11","1uEo4w@1","0.2000000","1.0000000"
"f37f2b08","xDAvSQ@5","35effa01"," 2","b3RmVw@3","1.0000000","1.0000000"
"ee5dc6a3","xDAvSQ@5","bb695007"," 2","b3RmVw@3","1.0000000",NA
"975c1a7","xDAvSQ@5","8a9af748"," 2","uvVA8Q@1","1.0000000","0.8333333"
"1b092249","O3010Q@5","18e1b02b"," 2","fGEHEQ@1","1.0000000",NA
"32dff9f7","O3010Q@5","e837cd77"," 2","b3RmVw@3","1.0000000","1.0000000"
"778a662c","O3010Q@5","b6639240"," 2","1uEo4w@2","1.0000000","1.0000000"
"cc1dd4ca","xDAvSQ@5","cb67bd51"," 2","b3RmVw@3","1.0000000","1.0000000"
"4e4924d2","O3010Q@8","c1fd3ac5"," 2","oQox3w@2","0.7500000","1.0000000"
"7bd3976","yWmNPQ@3","d536bbb"," 2","b3RmVw@3","1.0000000","1.0000000"
"ab6407c","xDAvSQ@5","9951b72"," 2","b3RmVw@2","1.0000000",NA
"39ce47ca","z4nUbw@6","2991b138"," 2","b3RmVw@2","1.0000000","1.0000000"
"f2885ba6","O3010Q@6","cc9ab4dc","20","b3RmVw@3","1.0000000",NA
"99233132","O3010Q@8","99b28789"," 2","l61z7Q@2","1.0000000","1.0000000"
"f8eb2f02","yWmNPQ@3","b7f3f736"," 8","b3RmVw@2","1.0000000",NA
"40abbae2","dW1YXw@4","b99d6fe8"," 2","1uEo4w@1","1.0000000","0.7500000"
"fd8944c9","yWmNPQ@3","968cb4fa","15","b3RmVw@2","1.0000000","1.0000000"
"d1a66d51","O3010Q@4","a3dec238"," 2","1uEo4w@2","0.6000000","1.0000000"
"cb067917","z4nUbw@6","f0509317"," 2","b3RmVw@2","1.0000000","1.0000000"
"48ffb009","O3010Q@7","6d62b0ba"," 2","b3RmVw@2","1.0000000","0.7500000"
"484cae6b","yWmNPQ@3","fb62a56d"," 2","b3RmVw@3","1.0000000","1.0000000"
"de6368f","O3010Q@4","77eb3c2f"," 2","b3RmVw@2","1.0000000","1.0000000"
"b43f838d","z4nUbw@6","4a13172a","10","1uEo4w@2","1.0000000","1.0000000"
"df021510","z4nUbw@6","c24e744c"," 2","jtfmjw@1","1.0000000","1.0000000"
"26e8a48c","xDAvSQ@5","b4ca8204"," 2","b3RmVw@2","1.0000000",NA
"5dfc1784","O3010Q@5","f3478a6e"," 2","oQox3w@1","1.0000000",NA
"efd9a262","yWmNPQ@4","3a84a633"," 2","b3RmVw@2","1.0000000","1.0000000"
"b8ab7c9e","z4nUbw@6","819e167b","12","b3RmVw@2","0.0000000","1.0000000"
"b6124d93","dW1YXw@4","457bfe3b"," 2","b3RmVw@4","1.0000000","1.0000000"
"b6b45acf","z4nUbw@6","4c85e437"," 2","b3RmVw@3","1.0000000",NA
"33c973ef","dW1YXw@4","96909285","12","b3RmVw@3","1.0000000",NA
"3d3fe191","z4nUbw@6","f83f0df7"," 2","b3RmVw@3","1.0000000","1.0000000"
"925a068d","dW1YXw@4","77dbd5ab"," 2","b3RmVw@2","0.7500000","1.0000000"
"d45f7605","z4nUbw@6","bc93e8ce"," 2","b3RmVw@4","1.0000000","1.0000000"
"729ada23","O3010Q@5","b48251c2"," 2","b3RmVw@2","0.7500000","0.6000000"
"5f5439e6","xDAvSQ@5","95baf381"," 2","b3RmVw@3","1.0000000",NA
"ebbd2ab0","O3010Q@4","e597ce5b"," 2","WttycQ@1","1.0000000","0.4000000"
"a391e6cc","O3010Q@5","4ac30e5e"," 2","b3RmVw@2","1.0000000",NA
"5cf63ed2","O3010Q@5","6b1e8e9a"," 2","b3RmVw@3","1.0000000","0.8000000"
"31485c9","O3010Q@8","b5887202","23","jtfmjw@1","0.6000000",NA
"32bc0dbe","z4nUbw@6","25c27f02"," 2","3PvHeQ@2","1.0000000",NA
"c1de4452","O3010Q@5","31aff364","11","b3RmVw@3","1.0000000","1.0000000"
"52a199c1","xDAvSQ@5","6648d09b"," 2","oQox3w@1","0.0000000","0.0000000"
"ddf33ac4","dW1YXw@4","7a701d66"," 2","jtfmjw@1","1.0000000","1.0000000"
"46169da2","O3010Q@5","1b826333"," 2","b3RmVw@2","1.0000000","1.0000000"
"4cbd186b","z4nUbw@6","168c2103"," 2","b3RmVw@3","0.7500000","1.0000000"
"9a07864c","yWmNPQ@3","1c6072bf"," 2","b3RmVw@2","0.0000000","1.0000000"
"7a92d5c8","O3010Q@8","98e0e269"," 9","b3RmVw@2","1.0000000","1.0000000"
"9d374df9","dW1YXw@4","6309589b"," 2","b3RmVw@2","0.0000000","1.0000000"
"604cc3a0","O3010Q@5","b2ea2303"," 2","pAh9DQ@2","1.0000000","1.0000000"
"483fa0cf","dW1YXw@4","793fab4e","15","b3RmVw@3","1.0000000","1.0000000"
"435312ac","O3010Q@5","33ac5959"," 2","uvVA8Q@1","1.0000000","0.0000000"
"262b5765","xDAvSQ@5","abeddba8"," 2","b3RmVw@2","1.0000000","1.0000000"
"9a772c9a","xDAvSQ@5","faec8b6f"," 2","uvVA8Q@1","1.0000000","0.0000000"
"8c6d65d5","yWmNPQ@3","5f9156f5"," 2","b3RmVw@3","1.0000000","1.0000000"
"7bd51c6e","O3010Q@4","d0eb2c6b"," 2","b3RmVw@3","1.0000000",NA
"d229fcfa","O3010Q@7","90646f2f"," 2","seJe7Q@3","1.0000000","1.0000000"
"d78ebe13","xDAvSQ@5","2a5e27b2","14","b3RmVw@3","1.0000000","1.0000000"
"83c16afb","O3010Q@5","70665bf2"," 2","pAh9DQ@2","1.0000000","1.0000000"
"bc3306bf","z4nUbw@6","99503080"," 2","b3RmVw@3","1.0000000","1.0000000"
"e959654e","yWmNPQ@3","8c72e8a8","12","1uEo4w@2","0.8000000","1.0000000"
"f3401253","yWmNPQ@3","24b70eb5"," 2","fGEHEQ@1","1.0000000",NA
"a8698912","xDAvSQ@5","d725effd"," 2","b3RmVw@3","1.0000000","1.0000000"
"2bec2bfd","xDAvSQ@5","b06a15dc"," 2","pAh9DQ@2","0.0000000","1.0000000"
"e74d9b01","O3010Q@4","30e3d524"," 2","b3RmVw@2","1.0000000",NA
"fb380ecf","xDAvSQ@5","9491941d"," 2","b3RmVw@3","1.0000000","1.0000000"
"af4b05ae","yWmNPQ@6","7a55d06"," 2","fGEHEQ@1","0.0000000",NA
"8950f0c4","dW1YXw@4","d22fcddd"," 2","b3RmVw@2","1.0000000","1.0000000"
"c0273bb","z4nUbw@6","a571c9f"," 2","dW1YXw@1","1.0000000","1.0000000"
"4995bfa6","yWmNPQ@3","2cee8db9"," 2","b3RmVw@3","1.0000000","1.0000000"
"e1b212ab","xDAvSQ@5","a2120478"," 2","seJe7Q@3","1.0000000","1.0000000"
"c83027c1","yWmNPQ@3","632b0e4f"," 2","b3RmVw@3","0.0000000","1.0000000"
"5160554c","O3010Q@5","89fcbde5"," 2","b3RmVw@3","0.0000000",NA
"c9a99014","O3010Q@7","2f985b43"," 2","b3RmVw@3","1.0000000","1.0000000"
"1cc89845","O3010Q@5","c70433c6","12","3PvHeQ@2","1.0000000","1.0000000"
"6a998501","xDAvSQ@5","c33a21b9"," 2","l61z7Q@2","0.0000000","1.0000000"
"9887f0b6","O3010Q@4","e08d4fa3"," 2","oQox3w@2","0.0000000","1.0000000"
"415f5d86","dW1YXw@4","c2795671"," 2","pAh9DQ@2","0.4000000","1.0000000"
"1a9fb4ef","O3010Q@5","28649172"," 2","WttycQ@1","1.0000000","1.0000000"
"8c20201","O3010Q@5","a94c28a2"," 2","b3RmVw@3","1.0000000","1.0000000"
"544de5fe","dW1YXw@4","81b8b710","10","1uEo4w@1","1.0000000","1.0000000"
"2390905a","yWmNPQ@3","d241713f"," 2","pAh9DQ@2","1.0000000","1.0000000"
"45fddb6","O3010Q@5","9a08225f","10","jtfmjw@1","1.0000000","0.0000000"
"d55a6afc","O3010Q@5","4b5e0fb3"," 2","b3RmVw@4","1.0000000","1.0000000"
"a02503d5","dW1YXw@4","7397bebb"," 2","b3RmVw@3","1.0000000",NA
"7db42690","xDAvSQ@5","5168b95f"," 2","1uEo4w@1","1.0000000","1.0000000"
"8bbd811a","yWmNPQ@3","d41846ff"," 2","b3RmVw@2","1.0000000",NA
"779f98a6","yWmNPQ@3","b63c04f3"," 2","QujkHw@1","0.7500000","1.0000000"
"56c41cca","z4nUbw@6","ba18fc83"," 2","b3RmVw@2","1.0000000",NA
"b844263f","xDAvSQ@5","fe337acf"," 2","b3RmVw@2","1.0000000","1.0000000"
"74619886","xDAvSQ@5","8536c6c0"," 2","b3RmVw@3","1.0000000","1.0000000"
"78a55824","O3010Q@5","2a1ac26","12","oQox3w@2","1.0000000","1.0000000"
"c5db354e","dW1YXw@4","73e6e7d3"," 2","1uEo4w@1","1.0000000",NA
"240ffe33","O3010Q@4","67566a1a"," 2","oQox3w@1","1.0000000","1.0000000"
"fb0405d5","dW1YXw@4","b94d27c8","16","b3RmVw@4","1.0000000","1.0000000"
"75df670e","z4nUbw@6","e3c444c1","14","pAh9DQ@2","1.0000000",NA
"c9aa02a4","O3010Q@5","81fcc178"," 2","fGEHEQ@1","1.0000000","1.0000000"
"caf86b01","xDAvSQ@5","207271f8","15","b3RmVw@7","1.0000000","1.0000000"
"9afa985a","z4nUbw@6","9b7b876c"," 2","1uEo4w@1","0.0000000",NA
"d80ef789","xDAvSQ@5","aeaddefe"," 2","b3RmVw@2","0.0000000","1.0000000"
"3425c8c6","yWmNPQ@3","d6d68aef"," 2","b3RmVw@4","1.0000000","1.0000000"
"f5100812","yWmNPQ@6","9a03e99f","14","1uEo4w@2","1.0000000","1.0000000"
"b034b139","O3010Q@4","af979af1"," 2","b3RmVw@3","1.0000000","0.0000000"
"ae956157","z4nUbw@6","f1a6f56"," 2","1uEo4w@2","1.0000000","1.0000000"
"c621794d","xDAvSQ@5","591d098a"," 2","QujkHw@1","1.0000000",NA
"ebe094c1","O3010Q@5","aa782d85"," 2","fGEHEQ@1","1.0000000","1.0000000"
"44dc9526","yWmNPQ@6","a411776"," 2","b3RmVw@7","1.0000000","0.7500000"
"9d2366b9","yWmNPQ@3","95f15d1b","11","1uEo4w@2","1.0000000",NA
"ba797aa5","O3010Q@4","20fe3310"," 2","dW1YXw@1","1.0000000","1.0000000"
"51636059","xDAvSQ@5","ff56dddc","14","oQox3w@1","1.0000000","1.0000000"
"a196f973","O3010Q@4","4cc75dd6"," 2","3PvHeQ@2","1.0000000","0.0000000"
"835a54a8","O3010Q@5","cc8f467d"," 2","b3RmVw@2","1.0000000",NA
"760bbf69","xDAvSQ@5","9e3319ea"," 2","b3RmVw@2","1.0000000","1.0000000"
"959397b4","yWmNPQ@3","2114c7de"," 2","b3RmVw@4","1.0000000","1.0000000"
"a13d5c2e","xDAvSQ@5","8891b2c2"," 2","b3RmVw@2","1.0000000","1.0000000"
"60e79903","O3010Q@5","af801c1e","18","l61z7Q@2","1.0000000",NA
"2d6912f1","O3010Q@5","2e7adf23"," 8","b3RmVw@2","1.0000000",NA
"b8a20f30","z4nUbw@6","58e6509b","11","3PvHeQ@2","1.0000000","1.0000000"
"f34ba416","xDAvSQ@5","12a85447","15","b3RmVw@3","0.5000000","1.0000000"
"5e0c4fac","O3010Q@4","d9de4251"," 2","b3RmVw@3","1.0000000","1.0000000"
"69eefa81","dW1YXw@4","cf3be5e1"," 2","b3RmVw@3","0.8333330","1.0000000"
"f83b5217","O3010Q@4","57383d83"," 2","jtfmjw@1","1.0000000","1.0000000"
"b271e65a","yWmNPQ@3","b7b9e151"," 2","l61z7Q@2","0.0000000","0.6000000"
"d4d1d44a","O3010Q@4","38d4608c"," 2","dW1YXw@1","0.0000000","1.0000000"
"e14f7d4c","O3010Q@4","af4fb2da"," 2","b3RmVw@7","0.0000000","1.0000000"
"6489f1e2","dW1YXw@4","b564a39a"," 2","b3RmVw@2","1.0000000","1.0000000"
"73775ebe","O3010Q@7","f281e836"," 2","QujkHw@1","1.0000000","1.0000000"
"b52cdf3","yWmNPQ@3","819e167b","11","3PvHeQ@2","1.0000000",NA
"26977301","O3010Q@4","566a8bb8"," 2","jtfmjw@1","1.0000000","1.0000000"
"80203865","z4nUbw@6","b86ed769"," 2","b3RmVw@2","1.0000000","0.6666670"
"cea57d34","dW1YXw@4","5934cde5","13","b3RmVw@7","1.0000000",NA
"75f464c9","yWmNPQ@3","bb9f3a7f"," 2","b3RmVw@2","1.0000000","1.0000000"
"7771a4ce","xDAvSQ@5","17b076d4"," 2","b3RmVw@4","1.0000000","1.0000000"
"dc6acdf1","dW1YXw@4","a50310a9"," 8","b3RmVw@4","1.0000000","1.0000000"
"ded6e1de","O3010Q@8","4b56a7bc"," 9","QujkHw@1","1.0000000","1.0000000"
"5d3ed6ca","O3010Q@4","f146677d"," 2","b3RmVw@3","0.0000000","1.0000000"
"c9edbabe","dW1YXw@4","2d54b5b"," 2","b3RmVw@2","1.0000000",NA
"bea0e8a1","O3010Q@5","1b1ceab1"," 2","b3RmVw@4","0.0000000",NA
"24936c6f","dW1YXw@4","8b4cbeca"," 2","b3RmVw@2","1.0000000","1.0000000"
"ebe0d3ae","dW1YXw@4","73b4c5aa"," 2","b3RmVw@2","1.0000000","1.0000000"
"3b01d8e3","z4nUbw@6","804fed33","11","b3RmVw@2","1.0000000","1.0000000"
"c5d752e7","yWmNPQ@3","e734d424"," 2","b3RmVw@2","1.0000000","1.0000000"
"f44e436b","xDAvSQ@5","ed289c3a"," 2","b3RmVw@2","1.0000000","1.0000000"
"6d7a58a2","O3010Q@6","a4686288"," 2","dW1YXw@1","1.0000000","0.0000000"
"53d600e0","yWmNPQ@3","ce25e1b4"," 2","b3RmVw@3","1.0000000","1.0000000"
"89ea9a29","O3010Q@7","5787d5b2","12","seJe7Q@3","1.0000000","0.0000000"
"4008daec","yWmNPQ@6","94c5feee"," 2","b3RmVw@3","1.0000000",NA
"5e688868","yWmNPQ@3","a543cd41"," 2","b3RmVw@4","1.0000000","1.0000000"
"90fa9bbd","z4nUbw@6","884d97c0"," 2","b3RmVw@2","1.0000000","1.0000000"
"e9a72651","xDAvSQ@5","974c61b9"," 2","b3RmVw@6","1.0000000","1.0000000"
"9a0149f5","O3010Q@7","e3d9667"," 2","oQox3w@2","1.0000000","1.0000000"
"b497c4b4","O3010Q@4","ee652c27"," 9","jtfmjw@1","1.0000000","1.0000000"
"87ce28c5","z4nUbw@6","44f118be"," 2","3PvHeQ@2","1.0000000","1.0000000"
"55805faf","dW1YXw@4","bed833da"," 2","b3RmVw@3","0.0000000","0.0000000"
"12625216","O3010Q@5","34698e06","12","b3RmVw@2","1.0000000","1.0000000"
"6d911463","O3010Q@5","dad3fcff"," 2","b3RmVw@6","1.0000000","1.0000000"
"effbfa59","xDAvSQ@5","f71f4c8a","10","b3RmVw@2","1.0000000","1.0000000"
"7a2696c3","dW1YXw@4","de9dc5dd"," 2","QujkHw@1","1.0000000","0.0000000"
"8dad2bef","xDAvSQ@5","857c9847"," 2","Cp66Lw@2","0.0000000",NA
"2b481ae","xDAvSQ@5","ac7e3d60"," 7","pAh9DQ@2","1.0000000",NA
"f6cdddc8","O3010Q@4","2259d327"," 2","b3RmVw@4","1.0000000",NA
"a059f8d1","yWmNPQ@3","68de2971"," 2","WttycQ@1","1.0000000",NA
"a2f82543","z4nUbw@6","aa9b9ea8"," 2","1uEo4w@1","1.0000000","1.0000000"
"8a3646bb","z4nUbw@6","c38f33e9"," 2","oQox3w@2","0.5000000","1.0000000"
"79add17","dW1YXw@4","47109c6c"," 2","b3RmVw@3","1.0000000","0.0000000"
"c68930c","xDAvSQ@5","ba12d955"," 2","b3RmVw@3","0.0000000","1.0000000"
"3510edca","dW1YXw@4","64fe9d95"," 2","oQox3w@2","1.0000000",NA
"e00f390f","O3010Q@8","a6c7de8"," 2","QujkHw@1","1.0000000","1.0000000"
"25b3b4b3","dW1YXw@4","232d2d20"," 2","jtfmjw@1","1.0000000","1.0000000"
"88710484","O3010Q@5","fe530dea"," 2","1uEo4w@2","1.0000000","0.7500000"
"f80caea3","yWmNPQ@3","28690620"," 2","b3RmVw@2","1.0000000","1.0000000"
"684c4e4e","O3010Q@4","ec32cc88","10","oQox3w@1","1.0000000","0.8000000"
"19455862","O3010Q@4","a97cc4e2","14","fGEHEQ@1","1.0000000","0.4000000"
"578ea52c","xDAvSQ@5","bc3e2f79"," 2","b3RmVw@3","1.0000000","1.0000000"
"32f6c9f7","yWmNPQ@3","2d6d02e5"," 2","b3RmVw@3","1.0000000","1.0000000"
"2fb6370e","xDAvSQ@5","6d2a6380"," 2","b3RmVw@3","1.0000000","1.0000000"
"68da01ac","O3010Q@4","dec96495"," 2","fGEHEQ@1","0.0000000","1.0000000"
"1274d3b4","z4nUbw@6","61ddf117"," 2","b3RmVw@3","1.0000000","1.0000000"
"a498760b","z4nUbw@6","e527626","14","b3RmVw@4","1.0000000",NA
"4cf23d24","O3010Q@8","c26fc12e","18","b3RmVw@3","1.0000000","0.7500000"
"82179ab6","z4nUbw@6","6b7466e3"," 9","b3RmVw@2","1.0000000","1.0000000"
"c960eaaa","yWmNPQ@3","f024fd44","13","WttycQ@1","1.0000000",NA
"5173d4a3","O3010Q@7","448de296","12","Cp66Lw@2","1.0000000",NA
"9756cd5b","dW1YXw@4","e5921733"," 2","3PvHeQ@2","0.7500000","1.0000000"
"24ff7287","yWmNPQ@3","7d882045"," 2","b3RmVw@2","1.0000000","0.0000000"
"6a2ab113","z4nUbw@6","7799d4fb"," 2","b3RmVw@2","0.0000000","1.0000000"
"b3016aae","z4nUbw@6","e94bf98e"," 2","1uEo4w@1","1.0000000","1.0000000"
"14b3cd10","O3010Q@5","b10536a2"," 2","b3RmVw@2","1.0000000","0.0000000"
"a1d26afe","yWmNPQ@3","62fd4e7","10","oQox3w@2","0.7500000","1.0000000"
"c38c99c7","z4nUbw@6","24d13c86"," 2","jtfmjw@1","1.0000000","1.0000000"
"c50ca068","yWmNPQ@3","3a3b1629"," 2","3PvHeQ@2","1.0000000","1.0000000"
"a28f6916","dW1YXw@4","b20eed42"," 2","b3RmVw@6","1.0000000","0.8000000"
"f000fb42","O3010Q@5","47f7e124"," 2","b3RmVw@3","1.0000000","0.0000000"
"3c689288","dW1YXw@4","c698e5f1"," 2","b3RmVw@4","1.0000000","0.0000000"
