"assessment_id","assessment_question_id","assessment_question_internal_id","assessment_question_cuepoint","assessment_question_order","assessment_question_weight"
"O3010Q@3","1uEo4w@1","IG9oUw@0","0","1"," 1"
"xDAvSQ@2","b3RmVw@2","6484dc21","0","4"," 1"
"dW1YXw@2","b3RmVw@2","067de101","0","3",NA
"xDAvSQ@2","pAh9DQ@1","LEb3RmVw","0","2"," 1"
"xDAvSQ@2","b3RmVw@4","949ea069","0","0"," 1"
"yWmNPQ@1","pAh9DQ@2","aa88b300","0","2",NA
"O3010Q@8","b3RmVw@3","IG9oUw@0","0","1"," 1"
"yWmNPQ@1","1uEo4w@1","LEb3RmVw","0","0"," 1"
"xDAvSQ@4","dW1YXw@1","LEb3RmVw","0","0"," 1"
"yWmNPQ@4","1uEo4w@1","08225069","0","4"," 1"
"xDAvSQ@3","b3RmVw@2","NeBDpQ@0","0","3",NA
"O3010Q@5","b3RmVw@3","LEb3RmVw","0","0"," 1"
"O3010Q@6","dW1YXw@1","6466021a","0","0"," 1"
"yWmNPQ@3","b3RmVw@2","067de101","0","2",NA
"O3010Q@2","b3RmVw@4","cd314271","0","1",NA
"O3010Q@8","b3RmVw@2","NeBDpQ@0","0","2",NA
"dW1YXw@2","b3RmVw@2","LEb3RmVw","0","1",NA
"dW1YXw@3","b3RmVw@2","LEb3RmVw","0","3"," 1"
"O3010Q@4","b3RmVw@2","6484dc21","0","2",NA
"O3010Q@4","b3RmVw@2","4b9fd926","0","5",NA
"z4nUbw@6","jtfmjw@1","LEb3RmVw","0","0"," 1"
"yWmNPQ@5","b3RmVw@6","IG9oUw@0","0","3"," 1"
"yWmNPQ@1","b3RmVw@3","LEb3RmVw","0","2",NA
"z4nUbw@2","b3RmVw@3","6466021a","0","0"," 1"
"O3010Q@4","b3RmVw@2","24bf4a4c","0","4",NA
"O3010Q@5","b3RmVw@2","LEb3RmVw","0","0"," 1"
"yWmNPQ@2","oQox3w@1","NeBDpQ@0","0","2",NA
"yWmNPQ@3","b3RmVw@2","NeBDpQ@0","0","2",NA
"z4nUbw@2","1uEo4w@1","IG9oUw@0","0","3"," 1"
"yWmNPQ@1","b3RmVw@2","LEb3RmVw","0","3"," 1"
"O3010Q@6","b3RmVw@3","067de101","0","3",NA
"yWmNPQ@3","b3RmVw@2","LEb3RmVw","0","1"," 1"
"O3010Q@7","b3RmVw@2","NeBDpQ@0","0","0",NA
"yWmNPQ@5","b3RmVw@5","08225069","0","1"," 1"
"O3010Q@3","b3RmVw@2","08225069","0","2"," 1"
"O3010Q@6","b3RmVw@2","cd314271","0","5"," 1"
"O3010Q@3","b3RmVw@7","LEb3RmVw","0","5"," 1"
"O3010Q@7","b3RmVw@4","IG9oUw@0","0","2",NA
"O3010Q@4","seJe7Q@3","d26b9332","0","2",NA
"dW1YXw@2","b3RmVw@4","08225069","0","0"," 1"
"yWmNPQ@6","seJe7Q@2","6484dc21","0","3"," 1"
"O3010Q@6","1uEo4w@1","IG9oUw@0","0","3"," 1"
"O3010Q@1","b3RmVw@4","LEb3RmVw","0","3"," 1"
"O3010Q@1","b3RmVw@2","ZMqeCw@0","0","0"," 1"
"O3010Q@5","b3RmVw@2","aa88b300","0","1"," 1"
"O3010Q@4","b3RmVw@3","ef6a279d","0","0",NA
"O3010Q@3","b3RmVw@3","IG9oUw@0","0","3"," 1"
"z4nUbw@5","b3RmVw@6","ZMqeCw@0","0","0",NA
"dW1YXw@4","b3RmVw@2","aa88b300","0","2",NA
"O3010Q@6","pAh9DQ@1","NeBDpQ@0","0","5",NA
"z4nUbw@4","b3RmVw@3","24bf4a4c","0","0"," 1"
"xDAvSQ@3","QujkHw@1","NeBDpQ@0","0","4",NA
"O3010Q@1","b3RmVw@7","LEb3RmVw","0","2"," 1"
"yWmNPQ@4","uvVA8Q@1","ef6a279d","0","5"," 1"
"xDAvSQ@2","b3RmVw@3","ZMqeCw@0","0","0",NA
"xDAvSQ@2","oQox3w@1","949ea069","0","0"," 1"
"yWmNPQ@3","seJe7Q@1","NeBDpQ@0","0","2"," 1"
"xDAvSQ@5","b3RmVw@2","4b9fd926","0","3"," 1"
"yWmNPQ@4","fGEHEQ@1","067de101","0","0"," 1"
"z4nUbw@3","b3RmVw@2","daf05453","0","1"," 1"
"yWmNPQ@1","b3RmVw@2","949ea069","0","0"," 1"
"dW1YXw@4","1uEo4w@1","cd314271","0","0",NA
"O3010Q@2","b3RmVw@4","067de101","0","4"," 1"
"xDAvSQ@4","l61z7Q@2","067de101","0","1"," 1"
"O3010Q@4","l61z7Q@1","d26b9332","0","2"," 1"
"xDAvSQ@4","9BZbew@1","IG9oUw@0","0","3"," 1"
"z4nUbw@3","b3RmVw@2","LEb3RmVw","0","0",NA
"O3010Q@7","b3RmVw@2","LEb3RmVw","0","1",NA
"O3010Q@5","b3RmVw@3","067de101","0","4"," 1"
"z4nUbw@5","b3RmVw@2","NeBDpQ@0","0","3",NA
"O3010Q@3","b3RmVw@2","d26b9332","0","0",NA
"O3010Q@7","b3RmVw@3","ZMqeCw@0","0","1",NA
"O3010Q@6","l61z7Q@1","LEb3RmVw","0","0",NA
"yWmNPQ@6","b3RmVw@2","6484dc21","0","3",NA
"yWmNPQ@2","b3RmVw@5","NeBDpQ@0","0","2"," 1"
"O3010Q@4","LdjFWw@1","NeBDpQ@0","0","1"," 1"
"yWmNPQ@5","fGEHEQ@1","NeBDpQ@0","0","1"," 1"
"dW1YXw@1","jtfmjw@1","4b9fd926","0","1",NA
"yWmNPQ@6","b3RmVw@2","067de101","0","4"," 1"
"dW1YXw@1","b3RmVw@3","daf05453","0","0"," 1"
"yWmNPQ@5","QujkHw@1","ZMqeCw@0","0","1"," 1"
"O3010Q@3","b3RmVw@2","LEb3RmVw","0","2",NA
"xDAvSQ@4","jtfmjw@1","LEb3RmVw","0","2"," 1"
"yWmNPQ@2","b3RmVw@2","IG9oUw@0","0","4"," 1"
"dW1YXw@4","b3RmVw@2","067de101","0","2"," 1"
"O3010Q@4","Cp66Lw@1","LEb3RmVw","0","0",NA
"xDAvSQ@3","b3RmVw@2","LEb3RmVw","0","3",NA
"z4nUbw@4","jtfmjw@1","ZMqeCw@0","0","5",NA
"yWmNPQ@2","jtfmjw@1","LEb3RmVw","0","1"," 1"
"yWmNPQ@2","b3RmVw@2","NeBDpQ@0","0","1"," 1"
"O3010Q@7","b3RmVw@4","NeBDpQ@0","0","0",NA
"O3010Q@2","l61z7Q@1","LEb3RmVw","0","1"," 1"
"yWmNPQ@4","uvVA8Q@1","aa88b300","0","1"," 1"
"yWmNPQ@5","b3RmVw@2","949ea069","0","1"," 1"
"dW1YXw@3","b3RmVw@2","LEb3RmVw","0","4",NA
"O3010Q@5","b3RmVw@2","d26b9332","0","0",NA
"dW1YXw@3","b3RmVw@2","IG9oUw@0","0","0"," 1"
"O3010Q@7","WttycQ@1","LEb3RmVw","0","4",NA
"xDAvSQ@3","QujkHw@1","LEb3RmVw","0","2"," 1"
"yWmNPQ@4","LdjFWw@1","NeBDpQ@0","0","2"," 1"
"O3010Q@8","b3RmVw@5","LEb3RmVw","0","5",NA
"yWmNPQ@5","WttycQ@1","LEb3RmVw","0","4"," 1"
"O3010Q@5","Cp66Lw@1","daf05453","0","5"," 1"
"z4nUbw@3","b3RmVw@3","d26b9332","0","3",NA
"O3010Q@8","b3RmVw@2","LEb3RmVw","0","3",NA
"yWmNPQ@6","b3RmVw@2","949ea069","0","2"," 1"
"xDAvSQ@2","b3RmVw@3","ZMqeCw@0","0","5"," 1"
"O3010Q@3","l61z7Q@1","d26b9332","0","4"," 1"
"O3010Q@1","b3RmVw@2","24bf4a4c","0","2"," 1"
"O3010Q@1","b3RmVw@2","IG9oUw@0","0","3"," 1"
"yWmNPQ@2","fGEHEQ@1","aa88b300","0","2",NA
"O3010Q@4","fGEHEQ@1","NeBDpQ@0","0","5"," 1"
"O3010Q@6","b3RmVw@2","LEb3RmVw","0","3",NA
"dW1YXw@3","b3RmVw@2","LEb3RmVw","0","0",NA
"xDAvSQ@5","b3RmVw@2","LEb3RmVw","0","1"," 1"
"yWmNPQ@6","b3RmVw@4","LEb3RmVw","0","0"," 1"
"O3010Q@1","b3RmVw@5","NeBDpQ@0","0","1",NA
"z4nUbw@4","oQox3w@1","LEb3RmVw","0","1"," 1"
"xDAvSQ@5","b3RmVw@4","LEb3RmVw","0","1",NA
"dW1YXw@4","b3RmVw@2","LEb3RmVw","0","0",NA
"O3010Q@7","b3RmVw@4","LEb3RmVw","0","3"," 1"
"O3010Q@5","b3RmVw@2","NeBDpQ@0","0","0",NA
"yWmNPQ@5","b3RmVw@2","4b9fd926","0","2",NA
"O3010Q@1","b3RmVw@3","IG9oUw@0","0","4"," 1"
"O3010Q@7","pAh9DQ@1","db800f56","0","2"," 1"
"O3010Q@3","fGEHEQ@1","24bf4a4c","0","1",NA
"yWmNPQ@2","uvVA8Q@1","LEb3RmVw","0","1",NA
"O3010Q@2","b3RmVw@2","cd314271","0","4",NA
"z4nUbw@6","1uEo4w@1","067de101","0","0",NA
"dW1YXw@4","3PvHeQ@1","6466021a","0","3"," 1"
"yWmNPQ@2","1uEo4w@2","ZMqeCw@0","0","0"," 1"
"O3010Q@1","LdjFWw@1","4b9fd926","0","5"," 1"
"z4nUbw@3","b3RmVw@3","IG9oUw@0","0","5"," 1"
"O3010Q@6","b3RmVw@6","ef6a279d","0","3"," 1"
"yWmNPQ@1","3PvHeQ@2","db800f56","0","3",NA
"z4nUbw@6","b3RmVw@4","cd314271","0","4"," 1"
"O3010Q@2","b3RmVw@2","LEb3RmVw","0","1"," 1"
"xDAvSQ@5","b3RmVw@4","08225069","0","0",NA
"z4nUbw@2","b3RmVw@4","LEb3RmVw","0","3",NA
"O3010Q@4","b3RmVw@2","LEb3RmVw","0","5",NA
"dW1YXw@1","b3RmVw@4","ef6a279d","0","3"," 1"
"O3010Q@1","Cp66Lw@1","6484dc21","0","3"," 1"
"O3010Q@1","b3RmVw@2","LEb3RmVw","0","0"," 1"
"xDAvSQ@3","b3RmVw@2","LEb3RmVw","0","4"," 1"
"O3010Q@2","9BZbew@1","067de101","0","0",NA
"yWmNPQ@3","b3RmVw@2","cd314271","0","3"," 1"
"yWmNPQ@4","LdjFWw@2","LEb3RmVw","0","4",NA
"z4nUbw@6","b3RmVw@2","LEb3RmVw","0","2"," 1"
"O3010Q@6","b3RmVw@2","LEb3RmVw","0","3",NA
"z4nUbw@4","b3RmVw@2","08225069","0","1"," 1"
"xDAvSQ@4","oQox3w@1","NeBDpQ@0","0","0"," 1"
"z4nUbw@5","oQox3w@1","LEb3RmVw","0","5"," 1"
"O3010Q@7","WttycQ@1","08225069","0","0"," 1"
"yWmNPQ@4","3PvHeQ@1","LEb3RmVw","0","0"," 1"
"z4nUbw@2","b3RmVw@2","LEb3RmVw","0","0",NA
"yWmNPQ@6","oQox3w@2","LEb3RmVw","0","4",NA
"z4nUbw@6","b3RmVw@4","LEb3RmVw","0","3",NA
"yWmNPQ@1","b3RmVw@2","IG9oUw@0","0","3",NA
"O3010Q@5","b3RmVw@4","ZMqeCw@0","0","5",NA
"O3010Q@1","dW1YXw@1","NeBDpQ@0","0","4"," 1"
"yWmNPQ@3","b3RmVw@3","LEb3RmVw","0","3"," 1"
"dW1YXw@3","b3RmVw@2","IG9oUw@0","0","3",NA
"O3010Q@6","b3RmVw@2","LEb3RmVw","0","5"," 1"
