"jhu_user_id","user_join_ts","country_cd","region_cd","profile_language_cd","browser_language_cd","reported_or_inferred_gender","employment_status","educational_attainment","student_status"
"b615f0e1","2012-09-23 15:46:33","IS","DL",NA,"en","female",NA,NA,NA
"27aea938","2014-02-02 22:11:28","ES","L",NA,"en-US",NA,NA,NA,NA
"360d5c74","2015-08-26 22:15:45","US","01","en-US","en-US","male",NA,NA,NA
"65d085df","2015-10-21 22:47:05","TH","KA","en-US","en-US","female",NA,NA,NA
"92d0609d","2013-03-11 10:38:01","DE","NSW",NA,"en-US","male",NA,NA,NA
"3e5a05d4","2014-01-25 01:04:34","TW","GA","en-US","en-CA","male",NA,NA,NA
"c9a3af5b","2014-10-08 21:11:09","SG","11","en-US","de-DE",NA,"EMPLOYED_FULL_TIME",NA,NA
"ff31dd66","2014-09-09 01:15:08","US","HM","en-US","en-US","male",NA,NA,NA
"5cd30391","2015-06-13 05:04:31","IN","MH",NA,"en-us","male",NA,NA,NA
"48234eb1","2015-01-27 12:07:39","CH","NY",NA,"en-US","male",NA,NA,NA
"b074acad","2014-02-19 12:18:05","IN","KA","en-US","en-US","male",NA,NA,NA
"2da1759d","2013-07-22 20:11:55","UA","TN","en-US","en-US","male","EMPLOYED_FULL_TIME","MASTERS_DEGREE",NA
"a53f6439","2012-08-30 17:22:43","IN","NH","en-US","en-US",NA,"UNEMPLOYED_LOOKING_FOR_WORK",NA,NA
"79feb676","2014-07-14 13:24:26","ES","GA","ru-RU","en-US","male",NA,NA,NA
"d6b63489","2013-09-16 03:09:49","IN","FL","en-US","en-US",NA,"EMPLOYED_FULL_TIME","COLLEGE_NO_DEGREE",NA
"39da368e","2017-03-01 14:29:55","GB","CA","en-US","en-US",NA,NA,NA,NA
"6b514fdb","2016-03-07 20:14:50","RO","KA",NA,"es-41","female",NA,"MASTERS_DEGREE",NA
"743f5c76","2016-02-15 19:35:06","IE","DL","en-US","en-US","male",NA,NA,NA
"487472a","2014-08-31 04:28:25","US",NA,NA,"en-US",NA,NA,NA,NA
"ef1ff94e","2014-11-24 15:33:28","UA","UP","en-US","en-US","male",NA,NA,NA
"b83c9271","2015-12-21 12:59:34","US","ANT",NA,"en","male",NA,NA,NA
"49ffa5c1","2013-11-07 18:02:27","GB","MD","en-US","es-ES","female",NA,NA,NA
"da1bc4a7","2012-03-08 19:09:21","SG","GA","en-US","en-US","male",NA,NA,NA
"c653c070","2012-11-01 12:09:41","AU","AZ","en-US","en-US","male",NA,NA,NA
"880aec13","2014-08-04 07:41:07","CO","TN",NA,"en-US",NA,NA,NA,NA
"ccf548f5","2014-01-25 20:07:00","US",NA,"en-GB","en-US",NA,NA,NA,NA
"276f206","2013-10-29 01:07:31","SE","OK","en-US","en-US","male",NA,NA,NA
"78f40365","2013-11-26 18:16:51","US",NA,NA,"en-US","male",NA,NA,NA
"23062e54","2016-01-04 01:25:46","AU","TX","en-US","en-gb",NA,NA,"BACHELOR_DEGREE",NA
"b178f4b0","2014-03-24 20:42:32","KR","WI","en-US","en-US",NA,NA,NA,NA
"e847fe22","2015-06-01 10:53:26","IN","NLE","en-US","da","female",NA,NA,NA
"13640260","2015-12-25 23:24:17","US","ZH","en-US","fr-FR","male",NA,NA,NA
"42100504","2012-03-07 07:22:10","US","SAR",NA,"en-US",NA,NA,NA,NA
"c9c25596","2013-02-06 05:57:00","US","CA",NA,"en-US",NA,"EMPLOYED_FULL_TIME","MASTERS_DEGREE",NA
"a0ff96f","2014-08-09 01:11:59","ZA","MD","zh-CN","zh-cn","male",NA,NA,NA
"e4f339fc","2012-09-05 02:31:59","US","BW",NA,"en-US",NA,NA,NA,NA
"b46b8999","2016-08-23 18:43:45","CN","MOW","en-US","en-US","male",NA,NA,NA
"e4ba561b","2014-07-15 05:04:42","TR","WB","en-US","en-US","male",NA,NA,NA
"202146b6","2016-06-21 19:29:46","CO",NA,"en-US","en-GB","male",NA,NA,NA
"6ad8ac7f","2013-09-18 04:10:40","SG","PA","fr-FR","zh-CN","male",NA,NA,NA
"980b66ec","2012-12-29 06:05:06","NG","CA","en-US","es-41","male",NA,NA,NA
"e2e2ce0b","2016-10-03 03:35:41","US","UP",NA,"de-DE",NA,"UNEMPLOYED_LOOKING_FOR_WORK",NA,NA
"e4b5696d","2015-08-29 04:27:55","US","25","fr","en-US",NA,"SELF_EMPLOYED_PART_TIME",NA,NA
"4b0ede13","2017-06-09 07:06:24","GB","MH","en-US","en-US","male",NA,NA,NA
"7ed416c5","2012-02-22 08:39:39","GB","BU",NA,"en-US","male",NA,NA,"NOT_DEGREE_STUDENT"
"894fcc88","2013-01-10 07:21:16","BE","FL",NA,"en-US","male",NA,NA,NA
"3148d040","2014-04-24 01:53:16","US","MH",NA,"de-de","female",NA,NA,NA
"66526573","2014-11-29 18:19:17","FI","ON",NA,"en-US",NA,NA,NA,NA
"bcb45bfe","2014-03-17 16:08:32","BR","TX",NA,"en","male",NA,NA,NA
"677f2474","2013-08-27 05:02:55","US","AG","en-US","zh-CN","male",NA,NA,NA
"fe81e2e2","2014-07-23 03:20:01","KR","KYA","en-US","en","male",NA,NA,NA
"6216b0ed","2013-03-13 20:07:08","IN","MH","en-US","en-US","male",NA,NA,NA
"b17924b0","2012-10-19 04:36:25","CL","ENG","en-US","en-US",NA,"EMPLOYED_FULL_TIME",NA,NA
"102d5f94","2012-12-03 08:22:05","ES","OU","en-US","en-US","male",NA,NA,NA
"b6db2b7","2016-06-08 08:42:24","BE","CA","en-US","en-US",NA,"UNEMPLOYED_LOOKING_FOR_WORK",NA,NA
"3edce31f","2012-07-12 14:56:13","US","KA","en-US","en-US","female",NA,NA,NA
"8af99e3a","2017-01-08 17:51:20","NL","TG",NA,"en-US","female",NA,NA,NA
"2623d584","2013-08-05 15:52:50","CA","MI","en-US","en-US","male",NA,NA,NA
"71a9b2e8","2013-04-19 00:06:17","MY","IL",NA,"zh-CN","male",NA,NA,NA
"e75e7d8a","2016-03-22 13:48:21","US","11","en-US","el-GR","male",NA,NA,NA
"fd775830","2012-08-08 08:21:20","TR","CA",NA,"en-US","male","EMPLOYED_FULL_TIME",NA,NA
"a226881d","2017-01-16 13:08:52","NG","KYA",NA,"en-US",NA,NA,"MASTERS_DEGREE",NA
"58c61434","2014-01-22 12:50:23","IN","WA","en-US","en-US",NA,NA,NA,NA
"3e99cd16","2014-06-01 15:57:26","IL","31",NA,"en-US","male",NA,NA,NA
"ea3f1b93","2013-02-15 18:13:54","JP","12","en-US","en",NA,NA,NA,"NOT_DEGREE_STUDENT"
"3ea007ed","2014-05-03 18:39:07","KW","E",NA,"en-US","female",NA,NA,NA
"2483025e","2013-04-15 08:35:17","BR","MI",NA,"en-US","female",NA,NA,NA
"5aa8443b","2014-03-19 11:46:29","US","BH","en-US","en-US","female",NA,NA,NA
"62b88ec2","2014-08-10 02:42:01","IT","13",NA,"en-US","male",NA,NA,NA
"349ad5ec","2013-09-08 10:17:35","HK",NA,"en-US","en-US","male","EMPLOYED_FULL_TIME",NA,NA
"c8a86cb8","2015-12-03 22:23:27","CN","ZH","en-US","en-GB",NA,NA,NA,NA
"f2bc2b19","2015-02-07 10:26:18","US","TM","en-US","en-GB","female",NA,NA,NA
"754c3027","2015-01-02 17:20:01","US",NA,"pt-BR","en-US",NA,NA,NA,NA
"5624319d","2013-07-26 20:34:30","IN","DF",NA,"tr","male",NA,NA,"NOT_DEGREE_STUDENT"
"fe21e111","2015-08-11 04:05:40","US","NJ","en-US",NA,"male",NA,NA,"NOT_DEGREE_STUDENT"
"65d852c7","2015-01-06 21:22:24","JP","CA",NA,"en-US","male",NA,NA,NA
"8aedf3df","2015-09-29 07:13:08","ES",NA,NA,"fr-fr","female",NA,NA,NA
"bb26e6c8","2012-12-06 10:35:40","KR","TG","en-GB","en-US","male",NA,NA,NA
"bfc399ec","2015-04-23 13:57:13","US","CA",NA,"en-US","male",NA,NA,NA
"7e64a7a7","2014-08-20 16:25:39","DE","KA","en-US","en-US",NA,NA,NA,NA
"649520a6","2013-06-23 15:00:54","US","ENG",NA,"en-US","male",NA,NA,NA
"847f3c5d","2015-09-01 14:38:59","US","CMX",NA,"en-US","male",NA,NA,NA
"eb3ed880","2014-10-23 10:11:11","PE","PR","fr-FR","en-US","female",NA,NA,NA
"43de15f7","2016-02-08 03:18:42","IN","75",NA,"en-US","male",NA,NA,NA
"eec3f139","2017-01-26 13:48:31","CN","NY",NA,"en-US","male",NA,NA,NA
"d53b0b36","2013-11-05 07:58:20","BR","CA","zh-CN","en-US","male",NA,NA,NA
"55730a4b","2016-07-28 08:58:55","KR","PA","en-US","pt-BR","male",NA,NA,NA
"cce3cdf9","2014-10-28 14:48:19","US","MA","en-US","en-US",NA,NA,NA,NA
"66ac1f71","2012-09-25 16:39:19","BR","TN","en-US","en-GB","female",NA,NA,NA
"a7127e19","2014-02-14 12:47:02","KR","TN",NA,"en-US","male",NA,NA,NA
"c7ac9077","2013-10-04 15:07:48","CA","NJ","en-US","zh","male","UNEMPLOYED_LOOKING_FOR_WORK",NA,NA
"c023931e","2012-10-18 06:59:27","US","02",NA,"en-US","female",NA,NA,NA
"5c4addd4","2013-02-22 08:26:05","CN","84","en-US","de-DE","female",NA,NA,"NOT_DEGREE_STUDENT"
"2810b76f","2013-01-27 04:37:45","FR","QLD","en-US","en-US",NA,NA,NA,NA
"781b8e98","2015-03-23 03:59:24","US","WB","en-US","en-US","male",NA,NA,NA
"7e82d7f6","2014-01-11 16:13:41","US","MA","en-US","en-US","male",NA,"MASTERS_DEGREE",NA
"267a7086","2017-06-27 13:23:51","US","ON","ru-RU","en-US","male",NA,NA,NA
"58ff581","2015-06-10 07:06:43","BB","UP",NA,"en-US","male",NA,NA,NA
"588e579a","2013-01-14 08:55:01","US","MI",NA,"en-US","male",NA,"MASTERS_DEGREE",NA
"1b6ce411","2017-01-04 05:37:44","BE","WA",NA,"en-US","male","EMPLOYED_FULL_TIME",NA,NA
"7d90ac49","2012-02-21 04:54:56","US","MA",NA,"zh-cn","male",NA,NA,NA
"e185639e","2015-05-20 01:43:45","JP","CMX","en-US","en-US",NA,NA,NA,NA
"855eb06c","2014-03-23 13:10:20","SG","MD","en-GB","en-US",NA,NA,NA,NA
"80e59574","2015-05-04 12:38:06",NA,"NH","en-US","de-DE","male",NA,NA,NA
"8ce5be94","2015-08-20 17:23:45","US","LT","en-US","en","female",NA,NA,NA
"1c15a6e5","2015-04-26 11:21:29","CN","RJ","en-US","en-US","male",NA,NA,NA
"1613b8a8","2016-07-23 14:47:31","GB","ENG",NA,"en-GB","male",NA,NA,NA
"aafff176","2013-01-17 07:54:14","US","ENG","en-US","en","male",NA,NA,NA
"4a40431c","2017-08-16 10:55:37","EE","HH","zh-CN","en-US","male",NA,NA,NA
"ee5cbc26","2013-11-15 07:54:20","US","NH","fr-FR","de","male",NA,NA,NA
"c1356c06","2014-06-01 02:48:27","US","KA","en-US","en-US","female",NA,NA,NA
"8ca8990e","2013-04-30 07:31:46","IL","LMA",NA,"en","male",NA,NA,NA
"896de708","2013-01-26 17:40:34","US","VIC",NA,"en",NA,NA,NA,NA
"a355ef5","2014-11-13 21:48:09","CG","VIC","en-US","en-US","male",NA,NA,NA
"c6c43db","2013-02-24 13:13:18","US","FL",NA,"en-US",NA,NA,NA,NA
"354ed847","2015-08-01 10:02:47","US","CA","en-US","en-US","male",NA,NA,NA
"dbec9531","2016-07-19 14:23:48","AU","NS","en-US","en-GB","female",NA,NA,NA
"386e839","2013-10-09 12:35:55","UA","10","en-US","en-us",NA,NA,NA,NA
"9dda0adf","2014-08-19 15:16:00","GA","NSW","en-US","en-US","male",NA,NA,NA
"bcb5098e","2015-09-07 13:38:26","EG","CA","de-DE","en-US","male",NA,NA,NA
"7f2e935","2012-07-17 21:33:28","CA","NJ",NA,"en","male",NA,NA,NA
"bec2122f","2015-10-01 12:16:07","IN","TX","en-US","nl-NL",NA,NA,NA,NA
"e2143123","2012-12-06 10:50:06","US","ZH","en-US","en-NZ","male",NA,NA,NA
"167a53f8","2012-08-03 04:23:39","US","LA","en-US","de-de",NA,NA,NA,NA
"7ff07b","2015-12-24 02:26:22","GB","TG","es-ES","en-US","male","UNEMPLOYED_LOOKING_FOR_WORK",NA,NA
"5eb82d24","2017-08-23 07:37:34","FR","GJ",NA,"en-US","female",NA,NA,NA
"6bf28392","2013-02-24 11:34:49","US","WAL",NA,"en-US",NA,NA,NA,NA
"64ec3288","2013-08-11 17:34:57","FR","UT","en-US","en","female",NA,NA,NA
"f00e601e","2014-04-28 15:50:26","US","NJ",NA,"en-US","female",NA,NA,NA
"7b0c3e78","2013-10-21 18:51:00","RU","30","en-US","en-US","male","UNEMPLOYED_LOOKING_FOR_WORK",NA,NA
"9e3c490c","2012-03-10 17:40:21","US","ZH",NA,"en-US","male",NA,NA,NA
"cd8eaf0","2016-06-09 22:39:26","AE","52","en-US","en-us","female",NA,NA,NA
"8cee3be3","2013-07-17 17:18:04","CH","IL","en-US","en-US","female",NA,NA,NA
"b72af948","2016-01-26 01:52:25","ES","UT","en-US","es-ES",NA,NA,NA,NA
"f090fe9b","2016-12-12 05:55:24","AT","TN","es","en","male",NA,NA,NA
"42741aed","2015-10-12 03:44:31","US","CT",NA,"en-US",NA,NA,NA,NA
"c6f7f454","2015-10-10 16:47:45","GB","NY","en-US","en-US","male",NA,NA,NA
"7d3fe071","2015-03-02 17:18:29","CN","TX","en-US","en-US",NA,NA,NA,NA
"b7add3e1","2015-10-25 23:10:03","NL","25","en-US","zh-cn","male",NA,NA,NA
"70c6ad","2012-05-01 22:14:14","CA","UT","en-US","zh-CN","male",NA,NA,NA
"d4222547","2012-11-21 13:30:55","HK","KA","en-US","en-US","male",NA,NA,NA
"dddbfead","2014-12-07 11:06:45","IR","GA","en-US","en-US",NA,NA,NA,NA
"23b3826d","2016-03-19 21:26:40","US","NJ",NA,"en-US","female",NA,NA,NA
"ffeabfb7","2016-12-30 19:24:39","CA","07","en-US","en-CA","male",NA,NA,NA
"8b624e68","2012-12-03 10:53:59","US","TX","en-US","en",NA,"EMPLOYED_FULL_TIME",NA,NA
"2d362593","2015-05-22 19:06:50","US","CMX","en-US","en-US","female",NA,NA,NA
"17d084db","2013-06-09 08:13:17","GB","DIF","en-US","en-US","female",NA,NA,NA
"e2de1","2012-06-19 17:09:00","SE","AS",NA,"en-US","female",NA,NA,NA
"6e4e8093","2015-02-04 06:35:09","IN","BRU","en-US","en-US","female",NA,NA,NA
"aed0d288","2012-12-07 23:50:15","US",NA,"es-ES","en-US",NA,NA,NA,NA
"2ff00204","2015-01-29 09:55:30","US","PR","en-US","ru-RU","male",NA,NA,NA
"fdd3d965","2012-03-06 17:39:26","US","I","en-US","en-US","male",NA,NA,NA
"44965331","2015-07-02 16:27:00","US","CA",NA,"en-US","male","HOMEMAKER",NA,"NOT_DEGREE_STUDENT"
"7fbad7bd","2012-11-23 18:14:30","IN","NE",NA,"nb-NO",NA,NA,NA,NA
"6b65c3e0","2017-01-30 17:55:46","US","CA",NA,"en-US","male",NA,"MASTERS_DEGREE",NA
"7b2c5538","2014-03-19 22:02:56","HK","ZH","zh-TW","en-US","male",NA,NA,NA
"e59fe091","2012-01-01 00:00:00","US","LA","en-US","fr-FR",NA,NA,NA,NA
"ddb0c364","2012-06-28 10:52:09","CN","IN","en-US","en-US","male",NA,NA,NA
"17430ee7","2016-02-23 15:01:38","RU","CA","en-US","en-US","male",NA,NA,NA
"67eb3bdb","2016-08-17 03:41:07","US","10",NA,"de","female",NA,NA,NA
"f08c406d","2013-06-28 10:34:52","TR","DL","en-US","nl",NA,NA,NA,NA
"c0040624","2014-11-10 04:38:32","IN","KL","en-US","en-US","male",NA,NA,"NOT_DEGREE_STUDENT"
"8610b257","2012-09-11 08:48:04","IN","DE","en-US","zh-CN","male",NA,NA,NA
"32e80f97","2014-09-09 02:59:02","IE","37",NA,"de-DE","male",NA,NA,NA
"5f0519bc","2013-07-10 08:42:04","US","VIC","en-US","en-US",NA,NA,NA,NA
"2d6f006f","2015-10-06 13:45:38","NL","OH",NA,"en-GB",NA,NA,NA,NA
"2c808ab6","2016-01-07 13:04:45","US","TG","en-US","en-US","female",NA,NA,NA
"96755201","2014-01-11 11:30:22","US","1","en-US","en-US","male",NA,NA,NA
"51a77623","2015-03-10 03:12:52","PE",NA,NA,"en-IN","male",NA,NA,NA
"7e543175","2016-04-01 10:48:29","MY","PE","zh-CN","en-GB","female",NA,NA,NA
"b5c016f4","2015-12-02 20:50:04","US",NA,"en-US","es-41",NA,"SELF_EMPLOYED_PART_TIME",NA,NA
"a4d2b9ae","2015-08-31 11:44:47","US","HE","en-US","en-US","male","UNEMPLOYED_LOOKING_FOR_WORK",NA,NA
"4504be4c","2015-01-17 17:52:41","US","NE","en-US","en-US","male",NA,NA,NA
"5066e48c","2012-11-29 11:22:13","IN","TX","en-US","en-US","male",NA,NA,NA
"6a243aaf","2012-03-06 05:34:53","IN","SCT","en-US","en-us",NA,NA,NA,NA
"2d9d9c47","2015-01-13 09:43:34","GB","ENG",NA,"zh-CN","male",NA,NA,NA
"3994c5c","2012-12-19 21:37:40","IT","VA","en-US","en-US","male",NA,NA,NA
"9fa262b0","2015-06-04 19:12:03","US","TG",NA,"es-ES","male",NA,NA,NA
"2e792ef1","2013-12-25 06:09:37","IN","ENG",NA,"en-US","female",NA,"MASTERS_DEGREE",NA
"2ed20320","2014-03-14 09:07:25","KR","CA",NA,"en-IN","female",NA,NA,NA
"13156741","2015-06-25 00:46:57","CA","VA","en-US","en-US","female",NA,NA,NA
"1af69793","2013-01-04 10:12:48","GR","NLE","de-DE","zh-CN",NA,NA,NA,NA
"78ff62d3","2012-10-24 13:02:50","CN","CA","en-US","en-US","male",NA,NA,NA
"98f34c15","2013-09-17 06:17:56","GB","NJ","en-US","en-US","male",NA,NA,NA
"a5f1d18b","2013-04-25 22:10:41","SG","ENG",NA,"it-IT","female",NA,NA,NA
"5183d35e","2013-03-11 03:14:53","MA","CA","en-US","en-us","male",NA,NA,NA
"ed541580","2016-06-14 15:55:54","US",NA,"en-US","en-US",NA,NA,NA,NA
"79738f21","2013-11-17 15:26:10","AU","OK","en-US","sl","male",NA,NA,NA
"d1d608ef","2014-10-07 06:44:42","US","13",NA,"en-US",NA,NA,NA,NA
"95281e41","2015-03-28 10:08:51","CA","IL","en-US","en",NA,NA,NA,NA
"ec7f791b","2016-01-16 13:21:54","US","30",NA,"en-US","male",NA,NA,NA
"56cb60f3","2015-07-29 15:22:47","US","LMA","en-US","en-us","male",NA,NA,NA
"d89cacea","2012-07-08 18:18:28","TH","NJ","en-US","es","male",NA,NA,NA
"3a5b52a6","2012-12-15 18:42:16","SG","TAS","en-US","pt-BR",NA,"EMPLOYED_FULL_TIME",NA,NA
"3248665f","2014-08-14 06:24:07","DE","ENG","en-GB","en","male",NA,NA,NA
"f1abc518","2016-10-01 19:24:49","AU",NA,NA,"en-US","male",NA,NA,NA
"538a5124","2016-02-11 21:39:34","GB","08","en-US","es-ES",NA,NA,NA,NA
"22e4e5d5","2014-09-16 13:03:43","UA","ZH","en-US","en",NA,NA,NA,NA
"54d807ba","2016-05-02 04:45:06","DE","TA","en-US","en-US","female",NA,NA,NA
"a056aa8","2014-09-09 06:21:49","EC","MD",NA,"en-US","male",NA,NA,NA
"2b001973","2016-10-27 14:06:43","NZ","OH","en-US","en-US","female",NA,NA,NA
"44612619","2015-01-05 09:49:27","IN","WA","en-US","en-US","male","EMPLOYED_FULL_TIME",NA,NA
"178c6505","2016-07-10 09:31:21","US","VA",NA,"en-GB","female",NA,NA,NA
"a35fbdba","2014-07-01 16:10:43","KR","MH","en-US","es-ES","female",NA,NA,NA
"da7a1f2b","2014-06-05 14:40:11","AU","MZ","en-US","en-US","male",NA,NA,NA
"367a5988","2014-06-15 07:49:36","MY","GA",NA,"en-us","male",NA,NA,NA
"4710f95c","2016-11-14 20:45:55","NL","ZH","en-US","en-US","male",NA,NA,"FULL_TIME_DEGREE_STUDENT"
"ce1ce097","2014-09-13 09:50:06","NL","AB","en-US","en-US","female",NA,NA,NA
"d4282987","2013-02-21 03:37:46","SG","TX",NA,"en-US","male",NA,NA,NA
"6cff6b04","2012-09-17 15:25:05","MD","10","en-US","en-US",NA,NA,NA,NA
"ddf01d9c","2015-11-02 23:28:12","RU","TG","en-US","en-US",NA,NA,NA,NA
"53b6b8e8","2016-10-28 20:16:46","HU","MH","en-US","pt-BR","male",NA,NA,NA
"e26971ee","2016-08-26 12:00:51","IN","MH",NA,"pt-BR",NA,NA,NA,NA
"ceea2dfa","2013-11-25 08:02:43","GB","MOW","zh-CN","en-US",NA,NA,NA,NA
"3f57069c","2013-11-08 17:42:34","US","QC",NA,"en-US","male",NA,NA,NA
"72006d09","2012-02-21 15:33:25","IN","ON",NA,"en-US",NA,NA,NA,NA
"49538418","2015-01-17 03:56:53","IN","GA","en-US","en-US","male",NA,NA,NA
"973bd4ed","2016-06-06 12:37:08","US",NA,NA,"en-US","male",NA,NA,NA
"6779579c","2012-05-29 05:35:43","US","CMX","en-US","en-US","female",NA,NA,NA
"b4cc9725","2014-09-02 11:17:13","AZ","MH",NA,"en-GB","male",NA,NA,NA
"33e2748f","2015-11-14 10:58:13","US","CA","en-US","en-US","male",NA,NA,NA
"fd408863","2016-06-01 16:58:15","MN",NA,"ru-RU","en-US","male","UNEMPLOYED_LOOKING_FOR_WORK",NA,NA
"6f6a4149","2015-07-18 04:05:30","LT","BA","en-US","en","female",NA,NA,NA
"ec41f110","2015-12-18 05:50:35","MY","MA",NA,"pt",NA,NA,NA,NA
"d30876ba","2015-09-28 19:01:25","IN","ALX",NA,"ru-RU","male",NA,"BACHELOR_DEGREE",NA
"8140dcfb","2015-03-15 08:37:20","PT","NC","en-US","en-US","male",NA,NA,NA
"aea4edf4","2013-12-20 21:33:04","DE","WA",NA,"ja","female",NA,NA,NA
"97fbb07a","2015-11-30 19:00:04","NP","AR",NA,"en-US","male",NA,NA,NA
"d579f112","2015-06-09 08:25:27","DE",NA,"en-US","en-GB",NA,NA,NA,NA
"6a8daae6","2013-10-10 02:34:38","US","11","en-US","en","male",NA,NA,NA
"255f999e","2012-08-14 06:07:17","US","IDF","en-US","en-US","male",NA,NA,NA
"b6154846","2015-02-19 21:30:04","NL","HR","en-US","en-US","male",NA,NA,NA
"de9ef391","2015-04-14 14:31:25","US","AB","en-US","en-US","female",NA,NA,NA
"eb666aa6","2015-02-10 20:25:59","LK","C","en-US","en","male",NA,NA,NA
