"course_branch_id","jhu_user_id","course_branch_grade_ts","course_passing_state_id","course_branch_grade_overall_passed_items","course_branch_grade_overall","course_branch_grade_verified_passed_items","course_branch_grade_verified"
"qsmzmVew","728401ab","2016-04-23 11:49:14","2","6","1.0000000","6","1.0000000"
"qsmzmVew","161985e7","2016-08-23 18:08:59","2","6","1.0000000","3","1.0000000"
"5e4i8Kvw","509748a2","2016-04-13 05:20:26","2","1","1.0000000","6","0.9567500"
"qsmzmVew","d69e3fe6","2016-04-19 16:20:55","2","4","0.9857140","4","1.0000000"
"5e4i8Kvw","1a167afc","2016-02-04 03:48:58","2","2","0.9380950","3","1.0000000"
"5e4i8Kvw","a08797c9","2017-02-02 23:57:43","2","4","0.9900000","4","1.0000000"
"5e4i8Kvw","81bc22af","2016-12-13 02:10:32","2","6","0.9667500","3","1.0000000"
"5e4i8Kvw","cff59467","2016-05-28 10:20:16","2","4","1.0000000","6","0.9857140"
"qsmzmVew","d0955a8","2016-05-18 09:19:48","0","6","0.2000000","4","0.6000000"
"5e4i8Kvw","ffb3d195","2016-11-20 01:44:31","2","6","0.4500000","4","0.7437500"
"qsmzmVew","3f46558a","2017-09-14 11:15:32","2","6","0.9857140","4","1.0000000"
"5e4i8Kvw","fd3e6df6","2017-02-07 00:07:42","2","6","1.0000000","3","0.9387500"
"5e4i8Kvw","3fcdc477","2017-09-21 14:54:09","2","3","0.9666670","4","0.9417857"
"5e4i8Kvw","97bdf5f8","2016-05-07 18:21:04","2","3","0.9028570","6","0.9758928"
"qsmzmVew","f80ea79c","2017-06-05 03:50:54","2","4","0.3530000","4","0.2937500"
"5e4i8Kvw","3e132434","2017-08-22 01:14:55","2","4","0.9857140","6","1.0000000"
"5e4i8Kvw","356d5ae","2016-04-14 11:50:55","2","3","0.9817500","6","1.0000000"
"qsmzmVew","e5815831","2017-10-01 23:53:48","2","4","0.5887500","4","0.9937500"
"5e4i8Kvw","da1a0d3d","2016-02-03 21:19:25","0","4","0.3166670","4","1.0000000"
"5e4i8Kvw","8c4fa38f","2016-01-31 14:24:47","2","2","0.9875000","3","1.0000000"
"qsmzmVew","f64f6855","2016-10-11 04:33:56","2","3","1.0000000","6","0.9492500"
"qsmzmVew","ead79475","2016-05-12 03:19:44","2","4","1.0000000","4","1.0000000"
"qsmzmVew","85d151e5","2016-03-29 19:51:31","0","5","0.9607500","3","1.0000000"
"5e4i8Kvw","66881356","2016-09-01 07:50:05","2","4","1.0000000","6","0.1600000"
"qsmzmVew","35567c33","2017-01-02 17:39:56","2","6","0.4280000","6","0.6000000"
"qsmzmVew","17ec5938","2016-04-19 08:49:31","2","4","1.0000000","3","1.0000000"
"qsmzmVew","63bdcfc1","2016-02-04 00:50:34","2","6","1.0000000","1","0.1500000"
"qsmzmVew","aace23dc","2017-09-19 16:24:29","0","4","1.0000000","5","0.0000000"
"qsmzmVew","c89b7b65","2016-12-08 10:52:18","0","4","0.6000000","6","0.9428570"
"qsmzmVew","a6c4776b","2016-04-28 01:42:07","2","6","0.6000000","3","0.6000000"
"qsmzmVew","8a84acc9","2016-02-17 22:21:01","2","4","0.9642857","6","0.9821429"
"qsmzmVew","88f60a6c","2016-02-03 04:48:48","2","6","0.9238100","4","1.0000000"
"5e4i8Kvw","1d349c5a","2016-06-02 09:20:29","2","4","0.4000000","6","1.0000000"
"qsmzmVew","aa962e3c","2016-12-21 14:20:58","2","6","0.9877500","4","0.9714290"
"qsmzmVew","fde5731b","2017-06-03 21:11:15","2","4","0.9821430","2","0.9666670"
"qsmzmVew","15940ad7","2017-01-04 04:14:11","2","3","0.9666670","4","1.0000000"
"qsmzmVew","79f7a185","2016-02-03 22:19:25","2","1","1.0000000","1","0.9857140"
"qsmzmVew","d283fdb4","2017-08-21 15:57:33","2","6","1.0000000","0","0.2000000"
"qsmzmVew","65d1413d","2016-08-22 02:29:38","2","3","0.3666670","3","0.6000000"
"qsmzmVew","3f57069c","2016-01-23 10:59:55","2","4","0.9666670","3","0.4437500"
"qsmzmVew","7bd1f62d","2016-08-16 21:18:35","2","6","0.1380000","6","0.9428570"
"5e4i8Kvw","f75c4712","2017-01-11 03:35:35","2","4","0.4450000","4","0.8137500"
"qsmzmVew","b993c5cd","2017-07-07 08:14:46","2","6","0.4000000","6","1.0000000"
"5e4i8Kvw","cef4184","2016-12-08 16:47:17","2","6","0.9758928","4","0.9714290"
"5e4i8Kvw","c7f0e1b0","2016-04-08 08:31:25","0","4","0.3666670","6","0.9714290"
"qsmzmVew","723cff33","2016-03-04 16:51:57","2","5","0.1020000","4","0.9666670"
"5e4i8Kvw","868703cf","2017-02-13 04:48:37","2","6","0.9714290","6","0.7500000"
"qsmzmVew","53043845","2017-05-01 23:10:54","2","6","0.9571430","6","0.6000000"
"5e4i8Kvw","991c66d4","2016-03-03 03:49:43","2","6","0.9837500","4","1.0000000"
"5e4i8Kvw","a53d058b","2017-03-04 12:55:49","2","4","1.0000000","4","1.0000000"
"qsmzmVew","7d6de379","2016-02-03 12:03:08","2","4","0.6000000","4","0.9695000"
"qsmzmVew","f33a3e11","2016-04-24 14:50:15","2","4","0.9740000","4","1.0000000"
"qsmzmVew","67297f31","2016-04-25 00:46:19","0","3","0.9453930","6","0.9635000"
"5e4i8Kvw","ce8884a1","2016-05-26 16:55:25","2","4","1.0000000","4","0.9380950"
"qsmzmVew","6a51fd09","2016-02-03 18:20:29","2","6","0.9576429","4","0.9426429"
"qsmzmVew","3439e44e","2016-01-24 08:27:09","2","1","1.0000000","2","1.0000000"
"5e4i8Kvw","f34f1527","2017-03-22 00:05:49","2","4","1.0000000","4","1.0000000"
"5e4i8Kvw","29ac7289","2016-03-30 17:43:24","2","4","0.9666670","3","0.9887500"
"5e4i8Kvw","627fce4e","2017-05-26 20:11:50","0","3","0.9600000","1","1.0000000"
"5e4i8Kvw","d8331fcf","2017-08-17 17:42:10","2","6","0.7500000","4","1.0000000"
"qsmzmVew","8e8abe08","2017-10-03 21:54:10","2","6","0.5666670","0","1.0000000"
"5e4i8Kvw","3423aa9","2016-05-29 14:52:37","2","4","1.0000000","3","1.0000000"
"qsmzmVew","43375452","2016-10-23 20:14:27","2","2","1.0000000","4","1.0000000"
"qsmzmVew","8131965c","2016-03-05 10:17:29","2","6","0.6000000","4","1.0000000"
"qsmzmVew","c300d8ed","2016-02-03 20:49:25","0","6","1.0000000","6","0.9426429"
"qsmzmVew","59fecfb7","2016-09-06 05:20:02","0","3","0.9857140","4","1.0000000"
"5e4i8Kvw","4b1aebd3","2016-04-28 07:49:32","2","1","0.9571430","4","1.0000000"
"5e4i8Kvw","ca05c5b9","2016-10-17 09:36:19","0","4","1.0000000","4","1.0000000"
"5e4i8Kvw","e818bd08","2016-02-01 09:29:54","2","1","1.0000000","6","0.9714290"
"qsmzmVew","f733057f","2017-01-22 20:05:26","2","4","1.0000000","4","1.0000000"
"5e4i8Kvw","83d2c5f1","2017-03-18 02:19:56","2","6","0.9937500","4","0.9714290"
"qsmzmVew","5684ec8","2017-04-09 17:14:13","2","6","0.9877500","4","0.9821430"
"qsmzmVew","e9374418","2017-03-21 17:14:04","0","6","0.9583929","3","0.7125000"
"qsmzmVew","58b38d1a","2016-05-03 01:57:54","2","4","1.0000000","6","1.0000000"
"qsmzmVew","edd55061","2017-04-03 03:41:29","2","4","1.0000000","6","1.0000000"
"qsmzmVew","17d6ade8","2016-06-05 04:59:01","2","6","1.0000000","3","1.0000000"
"qsmzmVew","80e0493b","2017-04-09 06:16:35","2","4","0.9817500","1","0.0000000"
"qsmzmVew","402d7be6","2017-04-02 23:18:12","2","4","1.0000000","6","0.9755000"
"5e4i8Kvw","9b99dd42","2017-07-16 16:25:53","2","6","1.0000000","4","1.0000000"
"5e4i8Kvw","b83b1d35","2017-01-21 13:46:22","0","6","0.9875000","4","1.0000000"
"5e4i8Kvw","b1a6b9fd","2017-03-11 10:10:47","2","6","0.4000000","5","0.9666670"
"5e4i8Kvw","b89c40ed","2016-07-10 04:05:40","2","4","0.9462500","6","0.9266670"
"qsmzmVew","b7a368eb","2017-09-18 15:45:02","2","6","0.9222857","3","1.0000000"
"5e4i8Kvw","9c52247d","2016-07-28 20:48:14","2","1","0.9697500","4","0.6000000"
"qsmzmVew","b780e176","2017-09-22 15:14:36","0","4","1.0000000","4","0.1600000"
"qsmzmVew","5b9917d4","2016-05-25 12:53:33","0","4","1.0000000","6","0.6000000"
"qsmzmVew","71295308","2017-06-20 16:13:33","2","4","0.4260000","4","0.9642857"
"qsmzmVew","1d835bf4","2017-06-20 16:13:31","0","4","1.0000000","1","0.9857140"
"5e4i8Kvw","11d5d04a","2017-07-21 00:14:59","2","4","0.9821430","6","1.0000000"
"5e4i8Kvw","3bdfc0e9","2016-12-10 13:49:57","2","4","0.9880000","6","0.2000000"
"qsmzmVew","28410bf","2017-04-17 13:17:39","0","4","1.0000000","6","0.1500000"
"qsmzmVew","197aa4c3","2017-10-03 13:51:55","0","4","0.9641430","4","0.9875000"
"5e4i8Kvw","bcde6d16","2016-03-17 07:49:12","2","6","1.0000000","6","1.0000000"
"qsmzmVew","d9816cac","2017-08-06 17:20:22","2","6","1.0000000","4","0.1500000"
"qsmzmVew","c109b395","2016-12-23 02:43:14","2","4","0.9821429","4","0.7042500"
"qsmzmVew","e5720107","2016-03-24 04:49:02","2","4","0.9950000","6","0.9940000"
"qsmzmVew","8b1f5e78","2017-04-06 08:14:00","2","4","1.0000000","6","0.9571430"
"qsmzmVew","e7d8255e","2016-01-20 22:52:07","2","3","1.0000000","4","0.9596428"
"5e4i8Kvw","65a9b7d1","2016-02-04 00:20:37","0","4","1.0000000","6","0.9900000"
"5e4i8Kvw","fb4987ff","2016-01-31 19:49:56","2","3","0.9571430","4","0.9857140"
"qsmzmVew","48ca1593","2016-07-25 20:45:47","0","6","1.0000000","6","0.9701428"
"qsmzmVew","6b792df6","2016-04-19 19:50:05","2","6","0.7500000","1","0.9767500"
"5e4i8Kvw","e545ac2b","2016-03-10 08:49:38","0","4","1.0000000","4","1.0000000"
"5e4i8Kvw","4ce999b1","2016-12-11 04:07:29","2","5","0.9937500","6","0.1500000"
"5e4i8Kvw","7768a462","2016-08-04 18:46:21","2","4","1.0000000","4","0.9857140"
"qsmzmVew","185b1143","2017-07-24 09:48:50","2","6","0.9571430","4","1.0000000"
"qsmzmVew","16d8c461","2016-03-31 22:49:46","2","6","0.4000000","6","0.6000000"
"qsmzmVew","400076a0","2016-05-09 15:04:54","2","3","0.5666670","4","0.9648930"
"5e4i8Kvw","16af1067","2017-01-11 20:51:36","2","2","1.0000000","1","0.9285710"
"qsmzmVew","c078584e","2016-11-30 17:27:28","2","6","0.5500000","4","1.0000000"
"qsmzmVew","a1efba45","2017-09-30 21:48:57","2","6","0.9438928","6","1.0000000"
"qsmzmVew","827a10e","2016-02-03 03:48:51","0","4","0.9450000","4","0.1500000"
"qsmzmVew","4ce25131","2016-12-06 11:40:32","2","4","0.9937500","4","0.9380950"
"5e4i8Kvw","c8c6769f","2016-12-06 07:38:47","2","4","0.9492857","6","0.9857140"
"qsmzmVew","9fea068b","2016-01-13 21:48:09","2","4","0.5750000","6","1.0000000"
"qsmzmVew","bf3fec86","2016-07-27 02:50:51","2","6","1.0000000","4","0.9820000"
"qsmzmVew","82c1d4f7","2017-03-29 09:25:06","2","6","0.2000000","4","0.9817500"
"qsmzmVew","badd5c1a","2017-06-11 12:20:24","2","4","1.0000000","6","0.9857140"
"5e4i8Kvw","c81c8da2","2016-11-10 02:26:36","2","3","0.7267500","4","1.0000000"
"5e4i8Kvw","18cf8d78","2017-07-25 20:54:17","2","4","1.0000000","3","1.0000000"
"qsmzmVew","3e1f97f1","2016-02-02 12:49:29","0","3","1.0000000","4","1.0000000"
"qsmzmVew","8d808903","2016-07-07 07:51:49","2","6","0.2000000","6","0.6000000"
"5e4i8Kvw","fde6b76f","2017-06-20 22:12:32","2","4","0.9758930","4","0.9428570"
"qsmzmVew","78f703c0","2017-03-13 16:13:29","2","6","0.9771430","6","1.0000000"
"5e4i8Kvw","ff82d6ca","2017-05-02 20:11:51","2","4","1.0000000","4","0.9937500"
"5e4i8Kvw","1e6a326c","2016-03-02 20:50:50","2","4","1.0000000","6","1.0000000"
"qsmzmVew","3dad441f","2016-03-09 23:49:24","2","6","1.0000000","6","0.6000000"
"qsmzmVew","5d90904","2016-07-04 06:22:02","2","6","0.9666670","3","1.0000000"
"5e4i8Kvw","24e2f8f4","2017-07-31 14:21:36","2","4","1.0000000","6","0.9825000"
"5e4i8Kvw","a163a4c9","2016-10-01 14:20:46","2","3","0.5617500","6","0.5666670"
"5e4i8Kvw","1a59f20f","2017-09-17 18:14:59","0","6","0.9642857","6","0.9725000"
"qsmzmVew","e4b98f44","2017-09-27 21:14:32","0","3","0.3000000","2","0.5600000"
"5e4i8Kvw","f4d7fdfe","2016-08-30 19:50:10","2","4","0.9857140","4","1.0000000"
"qsmzmVew","c72524d4","2016-08-05 10:22:10","2","6","0.9821430","4","0.9477500"
"5e4i8Kvw","8fa4a1a2","2016-04-15 07:45:28","0","6","0.1440000","3","0.1500000"
"5e4i8Kvw","814a61e8","2017-09-25 07:13:51","2","4","0.9787500","6","0.6000000"
"qsmzmVew","88e89c4f","2016-06-13 04:53:59","2","1","0.9714290","3","1.0000000"
"qsmzmVew","ebe14d1f","2016-02-02 07:23:13","2","6","1.0000000","5","1.0000000"
"5e4i8Kvw","82029b0c","2016-01-26 18:59:08","2","4","0.6000000","4","0.9021429"
"qsmzmVew","dfea4a41","2017-02-17 09:52:08","2","4","0.6000000","4","1.0000000"
"qsmzmVew","c156e870","2016-07-09 11:51:10","0","5","0.9875000","2","0.4000000"
"qsmzmVew","9079838f","2016-02-03 04:48:48","2","1","0.9600000","4","1.0000000"
"5e4i8Kvw","1d6725ee","2017-04-10 21:28:02","2","4","0.9714290","6","0.9830000"
"5e4i8Kvw","5308a1e6","2017-08-24 17:16:50","2","5","0.9666670","4","0.2000000"
"qsmzmVew","6d588151","2017-06-01 07:53:03","2","4","0.9880000","4","1.0000000"
"qsmzmVew","532225da","2016-03-10 09:19:22","2","5","0.7380950","6","0.9666670"
"qsmzmVew","387d0633","2016-01-24 18:40:28","2","6","1.0000000","1","0.9857140"
"qsmzmVew","9f47e44f","2016-02-14 15:00:58","2","4","1.0000000","4","0.9714290"
"qsmzmVew","d1e9e958","2017-04-12 09:12:49","2","6","0.9815000","6","0.9666670"
"5e4i8Kvw","639d4b6a","2016-06-01 04:55:06","0","4","0.9291428","5","1.0000000"
"5e4i8Kvw","6ab83b81","2016-10-31 07:19:16","2","6","1.0000000","6","0.2000000"
"qsmzmVew","ce96903a","2016-07-18 11:59:26","0","2","1.0000000","4","0.2000000"
"qsmzmVew","8d613703","2017-01-12 21:48:21","2","4","0.3000000","6","1.0000000"
"5e4i8Kvw","d191c0f","2016-03-01 23:21:08","2","4","1.0000000","4","0.9857140"
"qsmzmVew","ceb88ca1","2017-06-11 17:12:45","2","6","1.0000000","4","0.2000000"
"qsmzmVew","a2366259","2016-07-05 10:21:46","2","6","0.7500000","4","1.0000000"
"qsmzmVew","410084f","2016-10-24 21:36:11","2","4","0.2000000","2","0.9875000"
"qsmzmVew","3b1d1cc7","2016-03-12 19:02:16","2","6","0.6000000","3","0.9714290"
"qsmzmVew","7512b0ac","2017-06-05 04:14:24","0","3","0.9875000","6","1.0000000"
"qsmzmVew","3367c39c","2016-01-19 19:46:20","2","4","1.0000000","6","0.9335357"
"qsmzmVew","dec2a8c9","2016-04-21 17:18:45","2","4","1.0000000","1","1.0000000"
"5e4i8Kvw","ded96a8e","2016-02-03 22:49:44","0","1","1.0000000","6","1.0000000"
"5e4i8Kvw","423f9437","2016-11-05 02:02:44","2","4","1.0000000","1","0.9695000"
"5e4i8Kvw","27d21637","2016-02-01 18:20:12","2","4","1.0000000","6","1.0000000"
"5e4i8Kvw","6c351a74","2016-05-24 21:39:04","0","4","0.9837500","6","0.9571430"
"5e4i8Kvw","cd1b2679","2017-04-22 20:11:37","0","4","0.9714290","4","0.5666670"
"5e4i8Kvw","4fe98a5d","2017-07-20 08:19:21","2","4","0.6000000","4","0.9475000"
"5e4i8Kvw","10047e9f","2016-05-30 07:38:26","0","6","1.0000000","6","0.9600000"
"5e4i8Kvw","2e215f94","2017-06-20 18:13:51","2","6","1.0000000","4","1.0000000"
"5e4i8Kvw","7165fded","2017-02-27 12:11:14","2","4","1.0000000","4","0.9600000"
"qsmzmVew","c1e29008","2017-05-21 18:42:08","2","6","1.0000000","6","0.5500000"
"5e4i8Kvw","f6e8c5dd","2016-11-06 21:57:18","0","6","0.9758930","6","1.0000000"
"qsmzmVew","3248665f","2016-02-12 04:51:49","2","4","0.9600000","1","1.0000000"
"qsmzmVew","92722ebe","2016-02-03 00:18:39","0","4","0.9622500","3","0.9821430"
"qsmzmVew","1ee36550","2016-06-01 08:20:45","2","3","0.9758928","4","1.0000000"
"qsmzmVew","7b865ed6","2017-03-31 16:12:28","0","6","1.0000000","4","0.9571430"
"qsmzmVew","37bdd45d","2016-12-11 13:07:51","0","4","0.9600000","5","0.1500000"
"qsmzmVew","f822adeb","2016-08-26 18:11:28","2","4","1.0000000","4","0.9857140"
"qsmzmVew","7c09f157","2016-11-28 19:46:13","2","4","0.9633930","4","0.9171430"
"qsmzmVew","78ce30bb","2016-05-25 03:23:56","0","4","0.1500000","6","1.0000000"
"5e4i8Kvw","af166df","2016-03-21 11:43:30","2","6","0.4262500","6","1.0000000"
"5e4i8Kvw","39f684be","2017-01-20 16:10:47","2","4","1.0000000","4","0.9642857"
"qsmzmVew","a1f8e126","2016-09-20 02:07:23","0","4","0.9642857","6","0.9571430"
"5e4i8Kvw","7d15883f","2017-07-12 12:12:28","2","1","1.0000000","6","0.6000000"
"5e4i8Kvw","f1e83520","2016-03-03 01:20:34","2","3","0.9457140","4","0.5000000"
"5e4i8Kvw","352e1700","2016-05-11 19:09:27","2","6","1.0000000","4","0.9825000"
"5e4i8Kvw","faed8dc8","2017-06-14 04:14:00","2","4","1.0000000","6","0.6000000"
"5e4i8Kvw","821ce68","2016-02-06 14:51:26","2","6","0.9877500","6","0.9714290"
"qsmzmVew","4e506f03","2016-05-31 09:21:22","2","4","1.0000000","4","1.0000000"
"5e4i8Kvw","eba9c60a","2017-05-02 20:11:51","2","1","1.0000000","3","0.1500000"
"qsmzmVew","6e16e6a3","2016-02-29 20:30:27","2","4","0.9475000","4","0.5666667"
"5e4i8Kvw","3e4d821f","2016-03-19 04:33:48","2","6","0.9428570","4","0.9746429"
"5e4i8Kvw","12f33dda","2016-05-24 06:22:13","2","2","1.0000000","4","0.9545000"
"qsmzmVew","3b3a5cf7","2017-05-05 16:40:32","2","6","0.9380950","4","1.0000000"
"5e4i8Kvw","fb570132","2016-03-24 21:19:38","0","5","1.0000000","2","0.9821430"
"5e4i8Kvw","8ead9a5f","2017-03-21 17:14:04","0","5","0.9571430","4","0.9266670"
"5e4i8Kvw","42a9f210","2016-08-02 08:15:42","0","2","0.9666670","4","0.9887500"
"5e4i8Kvw","a39a0a0e","2017-08-20 16:24:20","0","4","0.9862500","3","0.8673571"
"5e4i8Kvw","ffad6112","2017-07-03 20:14:38","2","6","0.9950000","4","1.0000000"
"5e4i8Kvw","6b86759","2016-09-06 21:36:05","2","4","1.0000000","4","0.2940000"
"5e4i8Kvw","da04254a","2017-09-07 04:12:54","0","3","1.0000000","4","0.1500000"
"5e4i8Kvw","b6ae30b2","2016-07-14 07:41:33","2","2","1.0000000","3","1.0000000"
"5e4i8Kvw","bbbafe69","2017-04-16 20:16:18","2","2","0.9887500","4","0.9880000"
"qsmzmVew","1aa7ad10","2016-02-03 06:49:11","2","4","1.0000000","4","0.9571430"
"5e4i8Kvw","66367966","2016-06-20 04:34:13","2","4","0.9817500","4","1.0000000"
"qsmzmVew","98de934f","2016-10-31 20:44:57","2","4","1.0000000","4","0.7500000"
"qsmzmVew","4c98f7c4","2016-03-29 02:52:06","0","2","1.0000000","3","1.0000000"
"5e4i8Kvw","c9fbbe12","2016-11-11 22:21:39","2","4","0.9752500","6","0.9285710"
"qsmzmVew","39f46f7b","2017-06-12 18:15:08","0","6","0.4000000","6","1.0000000"
"qsmzmVew","2c1ee937","2016-10-23 18:29:24","2","4","0.9910714","3","0.6000000"
"qsmzmVew","64c861e1","2016-05-10 12:41:45","0","4","1.0000000","6","0.7500000"
"5e4i8Kvw","6c16b3b0","2017-02-08 13:48:24","2","4","1.0000000","4","1.0000000"
"qsmzmVew","e4b71050","2017-03-29 14:12:49","0","6","1.0000000","6","0.7380000"
"5e4i8Kvw","74abfcba","2016-04-25 18:30:19","2","4","1.0000000","6","1.0000000"
"5e4i8Kvw","b50f094a","2017-01-16 21:39:48","2","4","1.0000000","6","1.0000000"
"5e4i8Kvw","1b482392","2016-10-23 18:03:02","2","4","0.6000000","6","0.9666670"
"5e4i8Kvw","9da50a78","2017-07-19 13:20:23","2","1","1.0000000","6","0.5500000"
"5e4i8Kvw","5b7f0464","2017-08-24 00:09:26","2","5","0.9635000","4","0.9266670"
"qsmzmVew","43c8816a","2016-03-28 09:38:00","2","6","0.6000000","4","1.0000000"
"qsmzmVew","efef7fa7","2016-11-04 00:03:43","2","6","0.9500000","6","0.5666670"
"5e4i8Kvw","22079c49","2017-10-03 02:38:14","2","4","1.0000000","5","0.9666670"
"qsmzmVew","38c69801","2016-02-18 01:13:14","2","4","0.9821429","6","0.9580357"
"qsmzmVew","dc37f9a","2017-10-03 01:13:36","2","3","1.0000000","4","1.0000000"
"qsmzmVew","c938a956","2017-01-24 02:37:54","2","4","0.1500000","4","0.3266670"
"qsmzmVew","83d34dcd","2016-05-26 07:14:13","2","3","1.0000000","4","0.1020000"
"qsmzmVew","6e9dd85a","2016-12-11 15:57:10","0","4","0.4500000","4","0.6000000"
"qsmzmVew","116efbca","2016-02-07 19:36:03","2","6","0.9525000","4","0.9666670"
"5e4i8Kvw","4b03c059","2016-01-05 15:47:52","2","4","0.9701428","2","0.9666670"
"qsmzmVew","c8e96a8e","2017-01-16 07:34:09","0","4","1.0000000","4","1.0000000"
"qsmzmVew","24efaaa1","2017-02-27 07:10:52","2","1","0.4500000","6","0.5500000"
"qsmzmVew","608a2b26","2016-12-11 21:23:56","2","6","0.7070000","3","1.0000000"
"5e4i8Kvw","5e3cfabb","2016-09-03 13:49:11","2","1","0.6000000","6","0.1200000"
"qsmzmVew","551f3863","2016-07-12 17:51:57","2","3","0.9171430","1","1.0000000"
"5e4i8Kvw","f34b77d5","2017-09-29 20:14:42","2","1","0.9857140","4","0.9714290"
"qsmzmVew","7d6d234e","2017-08-31 17:22:37","2","4","1.0000000","1","0.9585000"
"5e4i8Kvw","4487ee3e","2017-07-10 03:42:57","0","6","0.4375000","4","0.9857140"
"qsmzmVew","f1040bed","2016-07-09 01:20:44","2","4","0.9875000","4","0.6965000"
"qsmzmVew","6770aa2d","2016-04-06 16:22:39","2","6","0.9571430","6","0.9837500"
"qsmzmVew","e3f15d0a","2017-03-09 08:33:39","2","4","1.0000000","3","0.9857140"
"5e4i8Kvw","cb76f3e5","2017-08-07 18:21:59","0","4","1.0000000","3","1.0000000"
"5e4i8Kvw","98662b9f","2017-03-30 05:15:58","2","3","0.7450000","1","0.9857140"
"5e4i8Kvw","c5c0109f","2017-02-13 21:11:40","0","1","0.9692500","6","1.0000000"
"qsmzmVew","e61c2a2f","2016-04-17 05:40:33","2","4","0.9857140","1","1.0000000"
"5e4i8Kvw","99543ce8","2016-06-04 16:07:34","2","6","1.0000000","4","0.1500000"
"qsmzmVew","5c4f818","2016-01-13 04:17:06","0","4","0.9642857","6","0.9600000"
"5e4i8Kvw","52107267","2016-05-05 07:49:40","2","6","1.0000000","2","0.7337500"
"5e4i8Kvw","7561d67b","2016-06-01 21:50:52","0","6","0.9387500","4","0.9815000"
"qsmzmVew","4e573753","2017-08-20 00:20:48","2","4","0.7215000","4","0.9666670"
"qsmzmVew","1088bef2","2016-02-03 16:49:31","2","6","0.9714290","3","0.9600000"
"qsmzmVew","fc1978a9","2017-06-03 23:45:18","2","4","1.0000000","4","0.2000000"
"5e4i8Kvw","407beaf0","2016-06-23 11:18:51","2","4","0.6000000","6","0.6000000"
"qsmzmVew","2bf900a6","2016-06-14 08:12:16","2","6","0.4155000","6","0.9837500"
"5e4i8Kvw","6da1e424","2016-03-25 01:39:09","2","6","1.0000000","4","1.0000000"
"qsmzmVew","c520d84a","2016-05-13 09:08:26","0","4","0.7125000","4","0.4500000"
"qsmzmVew","2673cf1c","2017-03-16 03:09:10","2","6","0.2000000","6","0.9877500"
